Pin Code,Beat
400072,B1
400087,B1
400076,B1
400079,B1
400078,B1
400080,B1
400082,B1
400081,B1
400083,B1
400042,B1
400079,B1
400075,B1
400084,B1
400086,B1
400016,B2
400028,B2
400025,B2
400013,B2
400018,B2
400030,B2
400008,B2
400007,B2
400026,B2
400006,B2
400004,B2
400002,B2
400020,B2
400032,B2
400034,B2
400035,B2
400021,B2
400005,B2
400014,B3
400012,B3
400033,B3
400027,B3
400015,B3
400011,B3
400010,B3
400036,B3
400039,B3
400038,B3
400009,B3
400023,B3
400003,B3
400001,B3
400077,B4
400074,B4
400071,B4
400089,B4
400094,B4
400024,B4
400022,B4
400085,B4
400088,B4
400043,B4
400017,B4
400019,B4
400031,B4
400037,B4
400051,B5
400029,B5
400055,B5
400098,B5
400057,B5
400053,B5
400096,B5
400093,B5
400069,B5
400060,B5
400054,B6
400058,B6
400061,B6
400049,B6
400056,B6
400052,B6
400050,B6
400063,B7
400065,B7
400090,B7
400097,B7
400101,B7
400066,B7
400068,B7
400102,B8
400104,B8
400062,B8
400064,B8
400095,B8
400067,B8
400092,B8
400091,B8
400103,B8
