Pin Code,Beat
560027,ADG
560030,ADG
560047,ADG
560081,BMS
560105,BMS
562106,BMS
560076,BNR
560083,BNR
560019,BNS
560028,BNS
560050,BNS
560070,BNS
560085,BNS
560068,ECT
560099,ECT
560100,ECT
560035,HSR
560102,HSR
560078,JPN
560011,JYN
560029,JYN
560041,JYN
560069,JYN
560061,KNP
560062,KNP
560082,KNP
560109,KNP
560034,KOR
560071,KOR
560095,KOR
562112,OTH2
562125,OTH2
562107,OTH2
560103,SJP
560008,IDR
560038,IDR
560093,IDR
560048,ITP
560066,ITP
560067,ITP
562114,ITP
560033,KNR
560037,MPR
560087,MPR
560007,OAR
560017,OAR
560016,OMR
560036,OMR
560049,OMR
560075,OMR
560043,BNS
560077,BNS
560084,BNS
560004,BSV
560001,CBD
560002,CBD
560025,CBD
560052,CBD
560053,CBD
560009,CHM
560018,CHM
560026,CHM
560039,CHM
560003,MLS
560020,MLS
560021,MLS
560086,MLS
560096,MLS
560056,MYS
560059,MYS
560060,MYS
560074,MYS
560091,MYS
560098,MYS
560104,MYS
560107,MYS
560108,MYS
560242,MYS
561203,OTH1
562109,OTH1
562123,OTH1
562149,OTH1
562111,OTH1
560031,PNY
560057,PNY
560058,PNY
560073,PNY
560088,PNY
560089,PNY
560090,PNY
560006,RTN
560024,RTN
560032,RTN
560045,RTN
560094,RTN
572101,TUM 
572102,TUM 
572103,TUM 
572104,TUM 
572105,TUM 
572106,TUM 
572107,TUM 
572122,TUM 
560005,ULS
560042,ULS
560046,ULS
560051,ULS
560010,VJN
560023,VJN
560040,VJN
560044,VJN
560072,VJN
560079,VJN
560063,YEL
560064,YEL
560065,YEL
560092,YEL
560097,YEL
560106,YEL
560300,YEL
562157,YEL
560012,YWP
560013,YWP
560014,YWP
560015,YWP
560022,YWP
560054,YWP
560055,YWP
560080,YWP
