Van No,Start Node,Start Latitude,Start Longitude,End Node,End Latitude,End Longitude,Slot Start Time,Slot End Time,Time to Travel,Hitting Time,Slot Adherence,Load
1,Hub,19.237481,73.034974,FMPC0115018346,19.23869,73.04149,2016-05-03 13:00:00,2016-05-03 16:00:00,0.16,2016-05-03 13:15:00,1,5.380963180453056
1,FMPC0115018346,19.23869,73.04149,FMPC0115005455,19.185294,72.973878,2016-05-03 13:00:00,2016-05-03 16:00:00,0.37,2016-05-03 13:52:12,1,20.74289804901237
1,FMPC0115005455,19.185294,72.973878,FMPC0115014207,19.185294,72.973878,2016-05-03 13:00:00,2016-05-03 16:00:00,0.0,2016-05-03 14:07:12,1,8.823211955501735
1,FMPC0115014207,19.185294,72.973878,FMPP0047141973,19.252891,72.98126,2016-05-03 16:00:00,2016-05-03 18:00:00,0.42,2016-05-03 14:47:24,0,52.0963260216587
1,FMPP0047141973,19.252891,72.98126,FMPP0047143550,19.254228,72.971375,2016-05-03 16:00:00,2016-05-03 18:00:00,0.09,2016-05-03 15:07:48,0,24.302385537183188
1,FMPP0047143550,19.254228,72.971375,FMPP0047092480,19.178665,72.964097,2016-05-03 16:00:00,2016-05-03 18:00:00,0.38,2016-05-03 15:45:36,0,3.238775938573375
1,FMPP0047092480,19.178665,72.964097,FMPP0047139885,19.208509,72.957927,2016-05-03 16:00:00,2016-05-03 18:00:00,0.38,2016-05-03 16:23:24,1,2.0044779400604567
1,FMPP0047139885,19.208509,72.957927,FMPP0047096009,19.206668,72.961262,2016-05-03 16:00:00,2016-05-03 18:00:00,0.09,2016-05-03 16:43:48,1,10.746773252986518
1,FMPP0047096009,19.206668,72.961262,FMPC0114973284,19.099962,73.009165,2016-05-03 16:00:00,2016-05-03 18:00:00,0.67,2016-05-03 17:39:00,1,2.0044779400604567
1,FMPC0114973284,19.099962,73.009165,FMPP0047139275,19.343822,72.804126,2016-05-03 16:00:00,2016-05-03 18:00:00,1.57,2016-05-03 19:28:12,0,2.0568433187806425
1,FMPP0047139275,19.343822,72.804126,FMPP0047134356,19.303166,72.860367,2016-05-03 16:00:00,2016-05-03 18:00:00,1.61,2016-05-03 21:19:48,0,20.74289804901237
1,FMPP0047134356,19.303166,72.860367,Sink,19.237481,73.034974,,,2,2016-05-03 23:34:48,,
2,Hub,19.237481,73.034974,FMPP0047152316,19.210458,72.985476,2016-05-03 10:00:00,2016-05-03 13:00:00,0.27,2016-05-03 10:15:00,1,12.584874321203024
2,FMPP0047152316,19.210458,72.985476,FMPC0115005261,19.218178,72.970453,2016-05-03 10:00:00,2016-05-03 13:00:00,0.07,2016-05-03 10:34:12,1,14.692615838784297
2,FMPC0115005261,19.218178,72.970453,FMPP0047141655,19.222992,72.960435,2016-05-03 10:00:00,2016-05-03 13:00:00,0.08,2016-05-03 10:54:00,1,11.588998586228126
2,FMPP0047141655,19.222992,72.960435,FMPC0115009870,19.280395,72.871114,2016-05-03 10:00:00,2016-05-03 13:00:00,0.68,2016-05-03 11:49:48,1,1.3707963600684723
2,FMPC0115009870,19.280395,72.871114,FMPC0115012296,19.270683,72.868692,2016-05-03 10:00:00,2016-05-03 13:00:00,0.13,2016-05-03 12:12:36,1,12.040143841507291
2,FMPC0115012296,19.270683,72.868692,FMPP0047143256,19.290364,72.85739,2016-05-03 10:00:00,2016-05-03 13:00:00,0.25,2016-05-03 12:42:36,1,5.380963180453056
2,FMPP0047143256,19.290364,72.85739,FMPC0115000755,19.294824,72.84869,2016-05-03 13:00:00,2016-05-03 16:00:00,0.08,2016-05-03 13:02:24,1,22.067629122735116
2,FMPC0115000755,19.294824,72.84869,FMPC0115018230,19.282758,72.878303,2016-05-03 13:00:00,2016-05-03 16:00:00,0.32,2016-05-03 13:36:36,1,4.09524902071875
2,FMPC0115018230,19.282758,72.878303,FMPC0115037852,19.281479,72.86337,2016-05-03 13:00:00,2016-05-03 16:00:00,0.19,2016-05-03 14:03:00,1,12.584874321203024
2,FMPC0115037852,19.281479,72.86337,FMPP0047146946,19.255296,72.973089,2016-05-03 13:00:00,2016-05-03 16:00:00,0.66,2016-05-03 14:57:36,1,10.780923061059038
2,FMPP0047146946,19.255296,72.973089,FMPP0047127462,19.252891,72.98126,2016-05-03 13:00:00,2016-05-03 16:00:00,0.11,2016-05-03 15:19:12,1,10.780923061059038
2,FMPP0047127462,19.252891,72.98126,FMPP0047150702,19.201698,72.979217,2016-05-03 13:00:00,2016-05-03 16:00:00,0.23,2016-05-03 15:48:00,1,11.496937154667224
2,FMPP0047150702,19.201698,72.979217,FMPP0047151080,19.214236,72.97229,2016-05-03 13:00:00,2016-05-03 16:00:00,0.15,2016-05-03 16:12:00,1,10.780923061059038
2,FMPP0047151080,19.214236,72.97229,FMPP0047144856,19.160796,72.989664,2016-05-03 13:00:00,2016-05-03 16:00:00,0.34,2016-05-03 16:47:24,1,10.780923061059038
2,FMPP0047144856,19.160796,72.989664,Sink,19.237481,73.034974,,,0.73,2016-05-03 17:46:12,,
3,Hub,19.237481,73.034974,FMPP0047148891,19.008917,73.1198,2016-05-03 13:00:00,2016-05-03 16:00:00,1.42,2016-05-03 13:15:00,1,10.780923061059038
3,FMPP0047148891,19.008917,73.1198,FMPP0047141171,19.03319,73.044924,2016-05-03 10:00:00,2016-05-03 13:00:00,0.65,2016-05-03 14:09:00,0,2.0468319913972746
3,FMPP0047141171,19.03319,73.044924,FMPP0047144905,19.076336,72.998111,2016-05-03 13:00:00,2016-05-03 16:00:00,0.33,2016-05-03 14:43:48,1,19.56117829177024
3,FMPP0047144905,19.076336,72.998111,FMPP0047152987,19.073605,73.017633,2016-05-03 13:00:00,2016-05-03 16:00:00,0.08,2016-05-03 15:03:36,1,12.584874321203024
3,FMPP0047152987,19.073605,73.017633,FMPP0047143008,19.073047,72.995264,2016-05-03 13:00:00,2016-05-03 16:00:00,0.1,2016-05-03 15:24:36,1,10.780923061059038
