Van No,Start Node,Start Latitude,Start Longitude,End Node,End Latitude,End Longitude,Slot Start Time,Slot End Time,Time to Travel,Hitting Time,Slot Adherence,Load
1,Hub,19.237481,73.034974,FMPC0115315416,19.2544,73.04269,2016-05-04 13:00:00,2016-05-04 16:00:00,0.25,2016-05-04 13:15:00,1,12.584874321203024
1,FMPC0115315416,19.2544,73.04269,FMPP0047151080,19.214236,72.97229,2016-05-03 13:00:00,2016-05-03 16:00:00,0.56,2016-05-04 14:03:36,1,10.780923061059038
1,FMPP0047151080,19.214236,72.97229,FMPP0047252061,19.197627,72.976334,2016-05-04 13:00:00,2016-05-04 16:00:00,0.2,2016-05-04 14:30:36,1,11.826300793600284
1,FMPP0047252061,19.197627,72.976334,FMPC0115234051,19.198087,72.976461,2016-05-04 13:00:00,2016-05-04 16:00:00,0.03,2016-05-04 14:47:24,1,7.327556133735834
1,FMPC0115234051,19.198087,72.976461,FMPP0047252259,19.1989885,72.9770245,2016-05-04 13:00:00,2016-05-04 16:00:00,0.02,2016-05-04 15:03:36,1,10.780923061059038
1,FMPP0047252259,19.1989885,72.9770245,FMPP0047252408,19.187866,72.951532,2016-05-04 13:00:00,2016-05-04 16:00:00,0.25,2016-05-04 15:33:36,1,24.302385537183188
1,FMPP0047252408,19.187866,72.951532,FMPP0047218270,19.187854,72.978388,2016-05-04 13:00:00,2016-05-04 16:00:00,0.21,2016-05-04 16:01:12,1,12.584874321203024
1,FMPP0047218270,19.187854,72.978388,FMPC0115275205,19.185294,72.973878,2016-05-04 13:00:00,2016-05-04 16:00:00,0.13,2016-05-04 16:24:00,1,1.9919634645923705
1,FMPC0115275205,19.185294,72.973878,FMPP0047228503,19.013184,73.0135,2016-05-04 13:00:00,2016-05-04 16:00:00,0.8,2016-05-04 17:27:00,0,1.18007410997025
1,FMPP0047228503,19.013184,73.0135,FMPP0047228389,19.012237,73.010692,2016-05-04 13:00:00,2016-05-04 16:00:00,0.07,2016-05-04 17:46:12,0,13.675556456867707
1,FMPP0047228389,19.012237,73.010692,FMPP0047226323,19.038736,73.071482,2016-05-04 13:00:00,2016-05-04 16:00:00,0.43,2016-05-04 18:27:00,0,26.832133331745073
1,FMPP0047226323,19.038736,73.071482,FMPP0047219527,19.041413,73.077335,2016-04-29 13:00:00,2016-04-29 16:00:00,0.1,2016-05-04 18:48:00,0,14.133136153363717
1,FMPP0047219527,19.041413,73.077335,Sink,19.237481,73.034974,,,1.29,2016-05-04 20:20:24,,
2,Hub,19.237481,73.034974,FMPP0047250998,19.20627,72.979818,2016-05-04 10:00:00,2016-05-04 13:00:00,0.35,2016-05-04 10:15:00,1,12.584874321203024
2,FMPP0047250998,19.20627,72.979818,FMPP0047252195,19.259594,72.969968,2016-05-04 10:00:00,2016-05-04 13:00:00,0.17,2016-05-04 10:40:12,1,12.584874321203024
2,FMPP0047252195,19.259594,72.969968,FMPP0047229741,19.270851,72.964919,2016-05-04 10:00:00,2016-05-04 13:00:00,0.02,2016-05-04 10:56:24,1,1.9069870193516665
2,FMPP0047229741,19.270851,72.964919,FMPC0115333368,19.263502,72.971415,2016-05-04 10:00:00,2016-05-04 13:00:00,0.06,2016-05-04 11:15:00,1,12.584874321203024
2,FMPC0115333368,19.263502,72.971415,FMPP0047252596,19.233413,72.970222,2016-05-04 13:00:00,2016-05-04 16:00:00,0.14,2016-05-04 11:38:24,0,11.588998586228126
2,FMPP0047252596,19.233413,72.970222,FMPP0047248267,19.241652,72.981512,2016-05-04 13:00:00,2016-05-04 16:00:00,0.1,2016-05-04 11:59:24,0,15.196173711496114
2,FMPP0047248267,19.241652,72.981512,FMPP0047236860,19.279986,72.873629,2016-05-04 13:00:00,2016-05-04 16:00:00,0.55,2016-05-04 12:47:24,0,26.377635519917813
