Van No,Start Node,Start Latitude,Start Longitude,End Node,End Latitude,End Longitude,Slot Start Time,Slot End Time,Time to Travel,Hitting Time,Slot Adherence,Load
1,Hub,19.237481,73.034974,FMPP0047321507,18.99964,73.124909,2016-05-05 16:00:00,2016-05-05 18:00:00,1.55,2016-05-05 16:15:00,1,26.398896795104164
1,FMPP0047321507,18.99964,73.124909,FMPP0047349135,19.150952,72.99911,2016-05-05 16:00:00,2016-05-05 18:00:00,0.91,2016-05-05 17:24:36,1,10.780923061059038
1,FMPP0047349135,19.150952,72.99911,FMPP0047328723,19.185401,72.987925,2016-05-05 16:00:00,2016-05-05 18:00:00,0.31,2016-05-05 17:58:12,1,12.584874321203024
1,FMPP0047328723,19.185401,72.987925,FMPP0047347933,19.275216,72.860722,2016-05-05 16:00:00,2016-05-05 18:00:00,0.89,2016-05-05 19:06:36,0,22.067629122735116
1,FMPP0047347933,19.275216,72.860722,FMPP0047134356,19.303166,72.860367,2016-03-05 16:00:00,2016-03-05 18:00:00,0.35,2016-05-05 19:42:36,0,20.74289804901237
1,FMPP0047134356,19.303166,72.860367,FMPP0047353088,19.38138,72.829303,2016-05-05 16:00:00,2016-05-05 18:00:00,1.41,2016-05-05 21:22:12,0,23.901259101191005
1,FMPP0047353088,19.38138,72.829303,FMPP0047310652,19.230153,72.979939,2016-05-05 16:00:00,2016-05-05 18:00:00,0.91,2016-05-05 22:31:48,0,1.1929266205755
1,FMPP0047310652,19.230153,72.979939,FMPP0047347424,19.201079,72.961858,2016-05-05 16:00:00,2016-05-05 18:00:00,0.19,2016-05-05 22:58:12,0,22.067629122735116
1,FMPP0047347424,19.201079,72.961858,FMPC0115584197,19.202661,72.965578,2016-05-05 16:00:00,2016-05-05 18:00:00,0.07,2016-05-05 23:17:24,0,12.584874321203024
1,FMPC0115584197,19.202661,72.965578,Sink,19.237481,73.034974,,,0.37,2016-05-05 23:54:36,,
2,Hub,19.237481,73.034974,FMPP0047344933,19.251629,73.13161,2016-05-05 10:00:00,2016-05-05 13:00:00,0.66,2016-05-05 10:15:00,1,11.588998586228126
2,FMPP0047344933,19.251629,73.13161,FMPP0047346507,19.181083,72.975479,2016-05-05 10:00:00,2016-05-05 13:00:00,0.79,2016-05-05 11:17:24,1,26.832133331745073
2,FMPP0047346507,19.181083,72.975479,FMPP0047353058,19.181415,72.973747,2016-05-05 13:00:00,2016-05-05 16:00:00,0.13,2016-05-05 11:40:12,0,10.780923061059038
2,FMPP0047353058,19.181415,72.973747,FMPC0115673852,19.222464,73.081483,2016-05-05 13:00:00,2016-05-05 16:00:00,1.63,2016-05-05 13:33:00,1,1.423616853281432
2,FMPC0115673852,19.222464,73.081483,FMPP0047345393,19.22038,73.116745,2016-05-05 13:00:00,2016-05-05 16:00:00,0.37,2016-05-05 14:10:12,1,5.380963180453056
2,FMPP0047345393,19.22038,73.116745,FMPC0115539844,21.114606,79.070021,2016-05-05 13:00:00,2016-05-05 16:00:00,2.1,2016-05-05 16:31:12,1,3.448919856897873
2,FMPC0115539844,21.114606,79.070021,FMPP0047353718,19.188198,72.942938,2016-05-05 13:00:00,2016-05-05 16:00:00,2.1,2016-05-05 18:52:12,0,10.780923061059038
2,FMPP0047353718,19.188198,72.942938,Sink,19.237481,73.034974,,,0.79,2016-05-05 19:54:36,,
3,Hub,19.237481,73.034974,FMPC0115585421,19.298149,73.063214,2016-05-05 13:00:00,2016-05-05 16:00:00,0.48,2016-05-05 13:15:00,1,12.584874321203024
3,FMPC0115585421,19.298149,73.063214,FMPP0047350263,19.234322,73.12234950000001,2016-05-05 13:00:00,2016-05-05 16:00:00,0.59,2016-05-05 14:05:24,1,10.179637059374999
3,FMPP0047350263,19.234322,73.12234950000001,FMPC0115654437,19.237756,73.126434,2016-05-05 16:00:00,2016-05-05 18:00:00,0.05,2016-05-05 14:23:24,0,11.826300793600284
3,FMPC0115654437,19.237756,73.126434,Sink,19.237481,73.034974,,,0.67,2016-05-05 15:18:36,,
4,Hub,19.237481,73.034974,FMPP0047345550,19.202777,72.965496,2016-05-05 10:00:00,2016-05-05 13:00:00,0.38,2016-05-05 10:15:00,1,11.496937154667224
