Van No,Start Node,Start Latitude,Start Longitude,End Node,End Latitude,End Longitude,Slot Start Time,Slot End Time,Time to Travel,Hitting Time,Slot Adherence,Load
1,Hub,22.739977,88.317647,FMPP0047233561,22.515537,88.402318,2016-05-04 16:00:00,2016-05-04 20:00:00,1.7,2016-05-04 16:15:00,1,19.56117829177024
1,FMPP0047233561,22.515537,88.402318,FMPC0115431298,22.88757,88.417443,2016-05-04 12:00:00,2016-05-04 16:00:00,2.0,2016-05-04 18:30:00,0,16.998515066795314
1,FMPC0115431298,22.88757,88.417443,FMPP0047245263,22.912924,88.410528,2016-05-04 16:00:00,2016-05-04 20:00:00,0.11,2016-05-04 18:51:36,1,10.324261082776461
1,FMPP0047245263,22.912924,88.410528,FMPP0047224485,22.601906,88.405258,2016-05-04 16:00:00,2016-05-04 20:00:00,1.76,2016-05-04 20:52:12,1,11.826300793600284
1,FMPP0047224485,22.601906,88.405258,FMPP0047244909,22.529376,88.342051,2016-05-04 16:00:00,2016-05-04 20:00:00,0.94,2016-05-04 22:03:36,0,14.133136153363717
1,FMPP0047244909,22.529376,88.342051,FMPC0114195718,22.579921,88.354049,2016-05-02 16:00:00,2016-05-02 20:00:00,0.37,2016-05-04 22:40:48,0,14.133136153363717
1,FMPC0114195718,22.579921,88.354049,FMPP0047229132,22.569394,88.360269,2016-05-04 16:00:00,2016-05-04 20:00:00,0.18,2016-05-04 23:06:36,0,26.398896795104164
1,FMPP0047229132,22.569394,88.360269,FMPP0047244846,22.595383,88.361753,2016-05-04 16:00:00,2016-05-04 20:00:00,0.18,2016-05-04 23:32:24,0,10.324261082776461
1,FMPP0047244846,22.595383,88.361753,Sink,22.739977,88.317647,,,1.7,2016-05-05 01:29:24,,
2,Hub,22.739977,88.317647,FMPP0047226339,22.927301,88.42895,2016-05-04 08:00:00,2016-05-04 12:00:00,1.7,2016-05-04 08:15:00,1,11.826300793600284
2,FMPP0047226339,22.927301,88.42895,FMPP0047244343,22.538951,88.285537,2016-05-04 08:00:00,2016-05-04 12:00:00,1.7,2016-05-04 10:12:00,1,12.584874321203024
2,FMPP0047244343,22.538951,88.285537,FMPP0047228905,22.5124,88.366362,2016-05-04 08:00:00,2016-05-04 12:00:00,0.85,2016-05-04 11:18:00,1,11.826300793600284
2,FMPP0047228905,22.5124,88.366362,FMPC0115320876,22.523901,88.352512,2016-05-04 08:00:00,2016-05-04 12:00:00,0.19,2016-05-04 11:44:24,1,2.266566376325185
2,FMPC0115320876,22.523901,88.352512,FMPP0047232273,22.527239,88.345281,2016-05-04 08:00:00,2016-05-04 12:00:00,0.08,2016-05-04 12:04:12,1,19.56117829177024
2,FMPP0047232273,22.527239,88.345281,FMPC0115290123,22.522107,88.347373,2016-05-04 08:00:00,2016-05-04 12:00:00,0.04,2016-05-04 12:21:36,1,11.2521057316075
2,FMPC0115290123,22.522107,88.347373,FMPP0047237186,22.522486,88.347806,2016-05-04 08:00:00,2016-05-04 12:00:00,0.0,2016-05-04 12:36:36,1,10.8806804252
2,FMPP0047237186,22.522486,88.347806,FMPC0115322845,22.527259,88.34626,2016-05-04 08:00:00,2016-05-04 12:00:00,0.03,2016-05-04 12:53:24,1,2.3138237115092597
2,FMPC0115322845,22.527259,88.34626,FMPC0115322394,22.553716,88.357349,2016-05-04 08:00:00,2016-05-04 12:00:00,0.2,2016-05-04 13:20:24,0,14.133136153363717
2,FMPC0115322394,22.553716,88.357349,FMPP0047246547,22.567948,88.359605,2016-05-04 08:00:00,2016-05-04 12:00:00,0.14,2016-05-04 13:43:48,0,24.302385537183188
2,FMPP0047246547,22.567948,88.359605,FMPP0047111078,22.579248,88.351967,2016-05-03 08:00:00,2016-05-03 12:00:00,0.11,2016-05-04 14:05:24,0,19.794046460838004
2,FMPP0047111078,22.579248,88.351967,FMPP0047245568,22.577523,88.352587,2016-05-04 12:00:00,2016-05-04 16:00:00,0.01,2016-05-04 14:21:00,1,3.319574450347391
2,FMPP0047245568,22.577523,88.352587,Sink,22.739977,88.317647,,,1.7,2016-05-04 16:18:00,,
3,Hub,22.739977,88.317647,FMPP0047247970,22.57381,88.36549,2016-05-04 08:00:00,2016-05-04 12:00:00,1.7,2016-05-04 08:15:00,1,12.584874321203024
3,FMPP0047247970,22.57381,88.36549,FMPC0115317008,22.520223,88.355125,2016-05-04 08:00:00,2016-05-04 12:00:00,0.36,2016-05-04 08:51:36,1,13.993601805989556
