Van No,Start Node,Start Latitude,Start Longitude,End Node,End Latitude,End Longitude,Slot Start Time,Slot End Time,Time to Travel,Hitting Time,Slot Adherence,Load
1,Hub,22.739977,88.317647,FMPC0115866152,22.467018,88.390382,2016-05-06 08:00:00,2016-05-06 12:00:00,1.66,2016-05-06 08:15:00,1,13.675556456867707
1,FMPC0115866152,22.467018,88.390382,FMPP0047431374,22.605926915,88.421836949,2016-05-09 08:00:00,2016-05-09 12:00:00,0.53,2016-05-06 09:01:48,1,10.324261082776461
1,FMPP0047431374,22.605926915,88.421836949,FMPP0047419674,22.493482,88.38675,2016-05-06 08:00:00,2016-05-06 12:00:00,0.59,2016-05-06 09:52:12,1,26.398896795104164
1,FMPP0047419674,22.493482,88.38675,FMPP0047416799,22.486475,88.357251,2016-05-06 08:00:00,2016-05-06 12:00:00,0.35,2016-05-06 10:28:12,1,2.3138237115092597
1,FMPP0047416799,22.486475,88.357251,FMPC0115926881,22.505999,88.344992,2016-05-06 08:00:00,2016-05-06 12:00:00,0.34,2016-05-06 11:03:36,1,12.584874321203024
1,FMPC0115926881,22.505999,88.344992,FMPP0047438806,22.534925,88.35343,2016-05-06 08:00:00,2016-05-06 12:00:00,0.21,2016-05-06 11:31:12,1,12.584874321203024
1,FMPP0047438806,22.534925,88.35343,FMPP0047436284,22.520245,88.351671,2016-05-06 08:00:00,2016-05-06 12:00:00,0.05,2016-05-06 11:49:12,1,12.584874321203024
1,FMPP0047436284,22.520245,88.351671,FMPC0115919648,22.498669,88.362511,2016-05-06 08:00:00,2016-05-06 12:00:00,0.35,2016-05-06 12:25:12,1,17.371867297748057
1,FMPC0115919648,22.498669,88.362511,FMPP0047430978,22.50087,88.364211,2016-05-06 08:00:00,2016-05-06 12:00:00,0.1,2016-05-06 12:46:12,1,12.03459314575
1,FMPP0047430978,22.50087,88.364211,FMPP0047419548,22.499095,88.364098,2016-05-06 08:00:00,2016-05-06 12:00:00,0.05,2016-05-06 13:04:12,0,5.203163465043334
1,FMPP0047419548,22.499095,88.364098,FMPP0047418191,22.540835,88.366145,2016-05-06 08:00:00,2016-05-06 12:00:00,0.26,2016-05-06 13:34:48,0,2.3992226844573263
1,FMPP0047418191,22.540835,88.366145,FMPP0047439037,22.563398,88.351308,2016-05-06 08:00:00,2016-05-06 12:00:00,0.15,2016-05-06 13:58:48,0,26.398896795104164
1,FMPP0047439037,22.563398,88.351308,FMPC0115859680,22.559276,88.367868,2016-05-06 08:00:00,2016-05-06 12:00:00,0.07,2016-05-06 14:18:00,0,1.901799274198542
1,FMPC0115859680,22.559276,88.367868,Sink,22.739977,88.317647,,,1.66,2016-05-06 16:12:36,,
2,Hub,22.739977,88.317647,FMPC0115858246,22.712904491,88.472378921,2016-05-06 08:00:00,2016-05-06 12:00:00,1.66,2016-05-06 08:15:00,1,1.465590601102917
2,FMPC0115858246,22.712904491,88.472378921,FMPP0047419589,22.664492,88.427502,2016-05-06 08:00:00,2016-05-06 12:00:00,0.88,2016-05-06 09:22:48,1,5.380963180453056
2,FMPP0047419589,22.664492,88.427502,FMPP0047436292,22.606438,88.413048,2016-05-06 12:00:00,2016-05-06 16:00:00,0.72,2016-05-06 10:21:00,0,13.7725320198375
2,FMPP0047436292,22.606438,88.413048,FMPP0047439335,22.606438,88.413048,2016-05-06 12:00:00,2016-05-06 16:00:00,0.0,2016-05-06 10:36:00,0,17.99309724090539
2,FMPP0047439335,22.606438,88.413048,FMPP0047417157,22.633799,88.417674,2016-05-06 12:00:00,2016-05-06 16:00:00,0.34,2016-05-06 11:11:24,0,19.56117829177024
2,FMPP0047417157,22.633799,88.417674,FMPP0047419760,22.6169,88.3826,2016-05-06 12:00:00,2016-05-06 16:00:00,0.4,2016-05-06 11:50:24,0,1.3500268778279167
2,FMPP0047419760,22.6169,88.3826,FMPC0115913183,22.626093,88.371855,2016-05-06 12:00:00,2016-05-06 16:00:00,0.12,2016-05-06 12:12:36,1,12.584874321203024
2,FMPC0115913183,22.626093,88.371855,FMPP0047438072,22.561275,88.365948,2016-05-06 12:00:00,2016-05-06 16:00:00,0.42,2016-05-06 12:52:48,1,14.55182127114264
2,FMPP0047438072,22.561275,88.365948,FMPC0115919245,22.563398,88.351308,2016-05-06 12:00:00,2016-05-06 16:00:00,0.07,2016-05-06 13:12:00,1,14.450450201236329
2,FMPC0115919245,22.563398,88.351308,FMPP0047430883,22.567948,88.359605,2016-05-06 12:00:00,2016-05-06 16:00:00,0.09,2016-05-06 13:32:24,1,24.302385537183188
2,FMPP0047430883,22.567948,88.359605,FMPP0047436853,22.559548,88.359062,2016-05-06 12:00:00,2016-05-06 16:00:00,0.21,2016-05-06 14:00:00,1,16.329728233365195
2,FMPP0047436853,22.559548,88.359062,FMPP0047436249,22.524018,88.3996,2016-05-06 12:00:00,2016-05-06 16:00:00,0.66,2016-05-06 14:54:36,1,22.067629122735116
2,FMPP0047436249,22.524018,88.3996,Sink,22.739977,88.317647,,,1.66,2016-05-06 16:49:12,,
3,Hub,22.739977,88.317647,FMPC0115913223,22.723742,88.483904,2016-05-06 16:00:00,2016-05-06 20:00:00,1.66,2016-05-06 16:15:00,1,12.584874321203024
3,FMPC0115913223,22.723742,88.483904,FMPP0047416775,22.465417,88.341179,2016-05-10 16:00:00,2016-05-10 20:00:00,1.7,2016-05-06 18:12:00,1,26.398896795104164
3,FMPP0047416775,22.465417,88.341179,FMPP0047433002,22.567529,88.35326,2016-05-06 16:00:00,2016-05-06 20:00:00,0.59,2016-05-06 19:02:24,1,11.826300793600284
3,FMPP0047433002,22.567529,88.35326,FMPC0115905445,22.556284,88.369323,2016-05-06 16:00:00,2016-05-06 20:00:00,0.21,2016-05-06 19:30:00,1,12.584874321203024
3,FMPC0115905445,22.556284,88.369323,FMPC0115926505,22.576753,88.349333,2016-05-06 16:00:00,2016-05-06 20:00:00,0.27,2016-05-06 20:01:12,1,14.450450201236329
3,FMPC0115926505,22.576753,88.349333,FMPP0047457896,22.505537,88.346433,2016-05-06 16:00:00,2016-05-06 20:00:00,0.36,2016-05-06 20:37:48,1,11.826300793600284
3,FMPP0047457896,22.505537,88.346433,FMPC0116008505,22.5306,88.343205,2016-05-06 16:00:00,2016-05-06 20:00:00,0.17,2016-05-06 21:03:00,0,15.196173711496114
3,FMPC0116008505,22.5306,88.343205,FMPP0047419578,22.521785,88.352294,2016-05-06 16:00:00,2016-05-06 20:00:00,0.19,2016-05-06 21:29:24,0,28.005586553587495
3,FMPP0047419578,22.521785,88.352294,Sink,22.739977,88.317647,,,1.66,2016-05-06 23:24:00,,
4,Hub,22.739977,88.317647,FMPP0047418648,22.49771,88.362,2016-05-06 12:00:00,2016-05-06 16:00:00,1.66,2016-05-06 12:15:00,1,26.398896795104164
4,FMPP0047418648,22.49771,88.362,FMPC0115861633,22.513537,88.356206,2016-05-06 12:00:00,2016-05-06 16:00:00,0.18,2016-05-06 12:40:48,1,26.832133331745073
4,FMPC0115861633,22.513537,88.356206,FMPP0047416340,22.514518,88.35062,2016-05-06 12:00:00,2016-05-06 16:00:00,0.05,2016-05-06 12:58:48,1,26.398896795104164
4,FMPP0047416340,22.514518,88.35062,FMPP0047421909,22.517204,88.351845,2016-05-06 12:00:00,2016-05-06 16:00:00,0.07,2016-05-06 13:18:00,1,11.297140396207293
