Van No,Start Node,Start Latitude,Start Longitude,End Node,End Latitude,End Longitude,Slot Start Time,Slot End Time,Time to Travel,Hitting Time,Slot Adherence,Load
1,Hub,28.714921,77.315002,FMPC0115607115,28.702492,77.32173,2016-05-05 08:00:00,2016-05-05 14:00:00,0.56,2016-05-05 08:15:00,1,4.740782575748563
1,FMPC0115607115,28.702492,77.32173,FMPC0115875568,28.607201,77.32894,2016-05-06 08:00:00,2016-05-06 14:00:00,0.77,2016-05-05 09:16:12,1,8.823211955501735
1,FMPC0115875568,28.607201,77.32894,FMPC0115865318,28.607604,77.331807,2016-05-06 08:00:00,2016-05-06 14:00:00,0.08,2016-05-05 09:36:00,1,16.998515066795314
1,FMPC0115865318,28.607604,77.331807,FMPP0047426015,28.605198,77.335533,2016-05-06 08:00:00,2016-05-06 14:00:00,0.09,2016-05-05 09:56:24,1,11.712826719417919
1,FMPP0047426015,28.605198,77.335533,FMPP0047429917,28.608931,77.339302,2016-05-06 08:00:00,2016-05-06 14:00:00,0.16,2016-05-05 10:21:00,1,52.0963260216587
1,FMPP0047429917,28.608931,77.339302,FMPP0047272127,28.627694,77.309846,2016-05-06 08:00:00,2016-05-06 14:00:00,0.41,2016-05-05 11:00:36,1,13.808898967500001
1,FMPP0047272127,28.627694,77.309846,FMPC0115896032,28.621358,77.30683,2016-05-06 08:00:00,2016-05-06 14:00:00,0.15,2016-05-05 11:24:36,1,5.380963180453056
1,FMPC0115896032,28.621358,77.30683,FMPP0047419571,28.613727,77.334195,2016-05-06 08:00:00,2016-05-06 14:00:00,0.41,2016-05-05 12:04:12,1,6.153223063361937
1,FMPP0047419571,28.613727,77.334195,FMPC0115874990,28.612038,77.330436,2016-05-06 14:00:00,2016-05-06 20:00:00,0.12,2016-05-05 12:26:24,0,8.823211955501735
1,FMPC0115874990,28.612038,77.330436,FMPP0047428683,28.614409,77.339836,2016-05-06 14:00:00,2016-05-06 20:00:00,0.2,2016-05-05 12:53:24,0,2.317032794840278
1,FMPP0047428683,28.614409,77.339836,Sink,28.714921,77.315002,,,1.26,2016-05-05 14:24:00,,
2,Hub,28.714921,77.315002,FMPC0115753217,28.694875500000002,77.30509599999999,2016-05-06 08:00:00,2016-05-06 14:00:00,0.49,2016-05-06 08:15:00,1,22.067629122735116
2,FMPC0115753217,28.694875500000002,77.30509599999999,FMPP0047423836,28.688695,77.265211,2016-05-06 08:00:00,2016-05-06 14:00:00,0.4,2016-05-06 08:54:00,1,27.622974070920627
2,FMPP0047423836,28.688695,77.265211,FMPC0115396678,28.678731,77.279134,2016-05-04 08:00:00,2016-05-04 14:00:00,0.34,2016-05-06 09:29:24,1,12.584874321203024
2,FMPC0115396678,28.678731,77.279134,FMPP0047380947,28.669602,77.28787,2016-05-06 08:00:00,2016-05-06 14:00:00,0.2,2016-05-06 09:56:24,1,12.322181943246092
2,FMPP0047380947,28.669602,77.28787,FMPP0047427616,28.670315,77.290801,2016-05-06 08:00:00,2016-05-06 14:00:00,0.08,2016-05-06 10:16:12,1,24.302385537183188
2,FMPP0047427616,28.670315,77.290801,FMPC0115868503,28.667917,77.297012,2016-05-06 08:00:00,2016-05-06 14:00:00,0.11,2016-05-06 10:37:48,1,14.450450201236329
2,FMPC0115868503,28.667917,77.297012,FMPC0115860384,28.669347,77.294978,2016-05-06 14:00:00,2016-05-06 20:00:00,0.05,2016-05-06 10:55:48,0,14.133136153363717
2,FMPC0115860384,28.669347,77.294978,FMPP0047429582,28.666008,77.297881,2016-05-06 14:00:00,2016-05-06 20:00:00,0.1,2016-05-06 11:16:48,0,10.324261082776461
2,FMPP0047429582,28.666008,77.297881,Sink,28.714921,77.315002,,,0.9,2016-05-06 12:25:48,,
3,Hub,28.714921,77.315002,FMPP0047421451,28.622708,77.28323,2016-05-06 08:00:00,2016-05-06 14:00:00,1.16,2016-05-06 08:15:00,1,8.823211955501735
3,FMPP0047421451,28.622708,77.28323,FMPP0047384725,28.607104,77.291603,2016-05-06 08:00:00,2016-05-06 14:00:00,0.24,2016-05-06 08:44:24,1,19.794046460838004
3,FMPP0047384725,28.607104,77.291603,FMPP0047425457,28.606341,77.295141,2016-05-06 08:00:00,2016-05-06 14:00:00,0.06,2016-05-06 09:03:00,1,14.450450201236329
3,FMPP0047425457,28.606341,77.295141,FMPP0047380566,28.630701,77.285319,2016-05-06 08:00:00,2016-05-06 14:00:00,0.25,2016-05-06 09:33:00,1,15.196173711496114
3,FMPP0047380566,28.630701,77.285319,FMPP0047320168,28.616944,77.284473,2016-05-05 08:00:00,2016-05-05 14:00:00,0.15,2016-05-06 09:57:00,1,16.075377713451466
