Van No,Start Node,Start Latitude,Start Longitude,End Node,End Latitude,End Longitude,Slot Start Time,Slot End Time,Time to Travel,Hitting Time,Slot Adherence,Load
1,Hub,28.714921,77.315002,FMPP0047472059,28.710785,77.214902,2016-05-07 08:00:00,2016-05-07 14:00:00,0.96,2016-05-07 08:15:00,1,13.488546
1,FMPP0047472059,28.710785,77.214902,FMPP0047427336,28.690189,77.20268,2016-05-06 08:00:00,2016-05-06 14:00:00,0.25,2016-05-07 08:45:00,1,4.867684050092014
1,FMPP0047427336,28.690189,77.20268,FMPC0116197906,28.68492,77.200793,2016-05-07 08:00:00,2016-05-07 14:00:00,0.13,2016-05-07 09:07:48,1,18.75978757352339
1,FMPC0116197906,28.68492,77.200793,FMPP0047466451,28.684611,77.184448,2016-05-07 08:00:00,2016-05-07 14:00:00,0.13,2016-05-07 09:30:36,1,17.99309724090539
1,FMPP0047466451,28.684611,77.184448,FMPP0047468797,28.682862,77.177343,2016-05-07 08:00:00,2016-05-07 14:00:00,0.13,2016-05-07 09:53:24,1,14.450450201236329
1,FMPP0047468797,28.682862,77.177343,FMPC0116268535,28.690398,77.162339,2016-05-07 08:00:00,2016-05-07 14:00:00,0.29,2016-05-07 10:25:48,1,9.78762619125
1,FMPC0116268535,28.690398,77.162339,FMPP0047478473,28.700983,77.128724,2016-05-07 08:00:00,2016-05-07 14:00:00,0.52,2016-05-07 11:12:00,1,19.323901724382107
1,FMPP0047478473,28.700983,77.128724,FMPC0116027887,28.696639,77.129689,2016-05-07 08:00:00,2016-05-07 14:00:00,0.11,2016-05-07 11:33:36,1,14.450450201236329
1,FMPC0116027887,28.696639,77.129689,FMPP0047477692,28.692152,77.053668,2016-05-07 08:00:00,2016-05-07 14:00:00,0.83,2016-05-07 12:38:24,1,19.794046460838004
1,FMPP0047477692,28.692152,77.053668,Sink,28.714921,77.315002,,,1.92,2016-05-07 14:48:36,,
2,Hub,28.714921,77.315002,FMPP0047511467,28.696808,77.300262,2016-05-07 08:00:00,2016-05-07 14:00:00,0.61,2016-05-07 08:15:00,1,2.3813571602584793
2,FMPP0047511467,28.696808,77.300262,FMPC0116024814,28.699783,77.279885,2016-05-07 08:00:00,2016-05-07 14:00:00,0.27,2016-05-07 08:46:12,1,1.6439165437500003
2,FMPC0116024814,28.699783,77.279885,FMPC0115619221,28.706623999999998,77.287171,2016-05-05 08:00:00,2016-05-05 14:00:00,0.2,2016-05-07 09:13:12,1,1.9726998525000001
2,FMPC0115619221,28.706623999999998,77.287171,FMPP0047501753,28.686871,77.280409,2016-05-07 08:00:00,2016-05-07 14:00:00,0.21,2016-05-07 09:40:48,1,0.9153549748419444
2,FMPP0047501753,28.686871,77.280409,FMPP0047466310,28.629966,77.301059,2016-05-07 08:00:00,2016-05-07 14:00:00,0.59,2016-05-07 10:31:12,1,4.368725107875
2,FMPP0047466310,28.629966,77.301059,FMPP0047481589,28.628826,77.296468,2016-05-07 08:00:00,2016-05-07 14:00:00,0.13,2016-05-07 10:54:00,1,16.075377713451466
2,FMPP0047481589,28.628826,77.296468,FMPP0047502503,28.636813,77.284433,2016-05-07 08:00:00,2016-05-07 14:00:00,0.24,2016-05-07 11:23:24,1,5.137727949022427
2,FMPP0047502503,28.636813,77.284433,FMPP0047510754,28.657265,77.30762,2016-05-07 08:00:00,2016-05-07 14:00:00,0.25,2016-05-07 11:53:24,1,16.523356839031184
2,FMPP0047510754,28.657265,77.30762,FMPP0047468174,28.639063999999998,77.27917149999999,2016-05-07 08:00:00,2016-05-07 14:00:00,0.3,2016-05-07 12:26:24,1,18.12547643818694
2,FMPP0047468174,28.639063999999998,77.27917149999999,FMPP0047337668,28.638033,77.272913,2016-05-05 08:00:00,2016-05-05 14:00:00,0.14,2016-05-07 12:49:48,1,12.584874321203024
2,FMPP0047337668,28.638033,77.272913,FMPP0047543065,28.638111,77.249066,2016-05-07 08:00:00,2016-05-07 14:00:00,0.2,2016-05-07 13:16:48,1,0.4855876560000001
2,FMPP0047543065,28.638111,77.249066,FMPP0047536565,28.635857,77.240566,2016-05-07 08:00:00,2016-05-07 14:00:00,0.06,2016-05-07 13:35:24,1,14.133136153363717
2,FMPP0047536565,28.635857,77.240566,FMPP0047535032,28.635857,77.240566,2016-05-07 08:00:00,2016-05-07 14:00:00,0.0,2016-05-07 13:50:24,1,3.238775938573375
2,FMPP0047535032,28.635857,77.240566,FMPC0116221458,28.644194,77.204226,2016-05-07 08:00:00,2016-05-07 14:00:00,0.24,2016-05-07 14:19:48,1,27.622974070920627
2,FMPC0116221458,28.644194,77.204226,FMPP0047482822,28.661789,77.143224,2016-05-07 08:00:00,2016-05-07 14:00:00,0.28,2016-05-07 14:51:36,1,16.017444610903436
2,FMPP0047482822,28.661789,77.143224,Sink,28.714921,77.315002,,,1.53,2016-05-07 16:38:24,,
3,Hub,28.714921,77.315002,FMPP0047387223,28.614121,77.288293,2016-05-06 08:00:00,2016-05-06 14:00:00,1.19,2016-05-06 08:15:00,1,15.455276470324005
3,FMPP0047387223,28.614121,77.288293,FMPP0047479604,28.614427,77.286915,2016-05-07 08:00:00,2016-05-07 14:00:00,0.1,2016-05-06 08:36:00,1,7.47665889609375
3,FMPP0047479604,28.614427,77.286915,FMPC0116024677,28.598175,77.293093,2016-05-07 08:00:00,2016-05-07 14:00:00,0.37,2016-05-06 09:13:12,1,2.3598806148750002
3,FMPC0116024677,28.598175,77.293093,FMPP0047501911,28.597429,77.297895,2016-05-07 08:00:00,2016-05-07 14:00:00,0.08,2016-05-06 09:33:00,1,11.712826719417919
3,FMPP0047501911,28.597429,77.297895,FMPC0115751106,28.588889,77.301389,2016-05-06 08:00:00,2016-05-06 14:00:00,0.1,2016-05-06 09:54:00,1,2.122649461
3,FMPC0115751106,28.588889,77.301389,FMPP0047337365,28.51452,77.230416,2016-05-05 08:00:00,2016-05-05 14:00:00,0.56,2016-05-06 10:42:36,1,18.706504725345283
3,FMPP0047337365,28.51452,77.230416,FMPC0116027617,28.561488,77.200444,2016-05-07 08:00:00,2016-05-07 14:00:00,0.72,2016-05-06 11:40:48,1,14.04823948210703
3,FMPC0116027617,28.561488,77.200444,FMPP0047508265,28.650916,77.108868,2016-05-07 08:00:00,2016-05-07 14:00:00,0.68,2016-05-06 12:36:36,1,14.133136153363717
3,FMPP0047508265,28.650916,77.108868,FMPP0047340988,28.5944,77.024459,2016-05-05 08:00:00,2016-05-05 14:00:00,0.85,2016-05-06 13:42:36,1,11.588998586228126
3,FMPP0047340988,28.5944,77.024459,FMPP0047469782,28.542704,77.122491,2016-05-07 08:00:00,2016-05-07 14:00:00,0.71,2016-05-06 14:40:12,1,8.488151671584378
3,FMPP0047469782,28.542704,77.122491,FMPP0047540592,28.582674,77.081678,2016-05-07 14:00:00,2016-05-07 20:00:00,0.63,2016-05-06 15:33:00,1,16.16481051944531
3,FMPP0047540592,28.582674,77.081678,Sink,28.714921,77.315002,,,1.92,2016-05-06 17:43:12,,
4,Hub,28.714921,77.315002,FMPP0047477137,28.69623,77.31294,2016-05-07 08:00:00,2016-05-07 14:00:00,0.47,2016-05-07 08:15:00,1,18.801161902278317
4,FMPP0047477137,28.69623,77.31294,FMPP0047468093,28.6046,77.334533,2016-05-07 08:00:00,2016-05-07 14:00:00,0.63,2016-05-07 09:07:48,1,18.75978757352339
4,FMPP0047468093,28.6046,77.334533,FMPC0116029350,28.619505,77.287517,2016-05-07 08:00:00,2016-05-07 14:00:00,0.39,2016-05-07 09:46:12,1,5.137727949022427
4,FMPC0116029350,28.619505,77.287517,FMPP0047467452,28.609596,77.293448,2016-05-07 08:00:00,2016-05-07 14:00:00,0.15,2016-05-07 10:10:12,1,8.823211955501735
4,FMPP0047467452,28.609596,77.293448,FMPP0047511386,28.609933,77.292646,2016-05-07 08:00:00,2016-05-07 14:00:00,0.02,2016-05-07 10:26:24,1,16.017354413484384
4,FMPP0047511386,28.609933,77.292646,FMPP0047384725,28.607104,77.291603,2016-05-06 08:00:00,2016-05-06 14:00:00,0.07,2016-05-07 10:45:36,1,19.794046460838004
4,FMPP0047384725,28.607104,77.291603,FMPP0047509161,28.630491,77.273488,2016-05-07 08:00:00,2016-05-07 14:00:00,0.38,2016-05-07 11:23:24,1,14.692615838784297
4,FMPP0047509161,28.630491,77.273488,FMPC0116000804,28.70732,77.204783,2016-05-06 14:00:00,2016-05-06 20:00:00,0.64,2016-05-07 12:16:48,0,4.867684050092014
4,FMPC0116000804,28.70732,77.204783,FMPP0047529565,28.696625,77.22591,2016-05-07 14:00:00,2016-05-07 20:00:00,0.12,2016-05-07 12:39:00,0,26.398896795104164
4,FMPP0047529565,28.696625,77.22591,FMPC0116304039,28.710303,77.18269,2016-05-07 14:00:00,2016-05-07 20:00:00,0.21,2016-05-07 13:06:36,0,14.450450201236329
4,FMPC0116304039,28.710303,77.18269,Sink,28.714921,77.315002,,,1.28,2016-05-07 14:38:24,,
5,Hub,28.714921,77.315002,FMPP0047535967,28.668321,77.306186,2016-05-07 14:00:00,2016-05-07 20:00:00,0.83,2016-05-07 14:15:00,1,19.323901724382107
5,FMPP0047535967,28.668321,77.306186,FMPP0047476111,28.681221,77.329449,2016-05-07 14:00:00,2016-05-07 20:00:00,0.26,2016-05-07 14:45:36,1,17.550147158608997
5,FMPP0047476111,28.681221,77.329449,FMPP0047380019,28.595472,77.298404,2016-05-06 14:00:00,2016-05-06 20:00:00,0.48,2016-05-07 15:29:24,1,15.196173711496114
5,FMPP0047380019,28.595472,77.298404,FMPP0047513361,28.599124,77.297955,2016-05-07 14:00:00,2016-05-07 20:00:00,0.06,2016-05-07 15:48:00,1,8.823211955501735
5,FMPP0047513361,28.599124,77.297955,FMPP0047542088,28.603719,77.301747,2016-05-07 14:00:00,2016-05-07 20:00:00,0.17,2016-05-07 16:13:12,1,8.823211955501735
5,FMPP0047542088,28.603719,77.301747,FMPP0047469770,28.573737,77.217249,2016-05-07 14:00:00,2016-05-07 20:00:00,0.55,2016-05-07 17:01:12,1,7.5683388571875
5,FMPP0047469770,28.573737,77.217249,FMPP0047544128,28.679028,77.088007,2016-05-07 14:00:00,2016-05-07 20:00:00,1.22,2016-05-07 18:29:24,1,1.9726998525000001
5,FMPP0047544128,28.679028,77.088007,FMPP0047543017,28.624456,77.112478,2016-05-07 14:00:00,2016-05-07 20:00:00,0.85,2016-05-07 19:35:24,1,18.75978757352339
5,FMPP0047543017,28.624456,77.112478,FMPC0115388801,28.680221,77.285956,2016-05-04 14:00:00,2016-05-04 20:00:00,1.32,2016-05-07 21:09:36,0,10.223896350937501
5,FMPC0115388801,28.680221,77.285956,FMPP0047539099,28.659432,77.279679,2016-05-07 14:00:00,2016-05-07 20:00:00,0.35,2016-05-07 21:45:36,0,10.780923061059038
5,FMPP0047539099,28.659432,77.279679,Sink,28.714921,77.315002,,,0.95,2016-05-07 22:57:36,,
6,Hub,28.714921,77.315002,FMPP0047492253,28.739035,77.203434,2016-05-07 08:00:00,2016-05-07 14:00:00,1.17,2016-05-07 08:15:00,1,19.323901724382107
6,FMPP0047492253,28.739035,77.203434,FMPP0047528133,28.693207,77.066896,2016-05-07 08:00:00,2016-05-07 14:00:00,1.05,2016-05-07 09:33:00,1,22.067629122735116
6,FMPP0047528133,28.693207,77.066896,FMPP0047482240,28.684549,77.057444,2016-05-07 08:00:00,2016-05-07 14:00:00,0.31,2016-05-07 10:06:36,1,12.32001559614
6,FMPP0047482240,28.684549,77.057444,FMPP0047468734,28.837376,77.080346,2016-05-07 08:00:00,2016-05-07 14:00:00,1.82,2016-05-07 12:10:48,1,23.86385809683646
6,FMPP0047468734,28.837376,77.080346,FMPP0047545078,28.700608,77.324168,2016-05-07 14:00:00,2016-05-07 20:00:00,1.92,2016-05-07 14:21:00,1,14.133136153363717
6,FMPP0047545078,28.700608,77.324168,FMPC0115902272,28.695053,77.320451,2016-05-06 14:00:00,2016-05-06 20:00:00,0.23,2016-05-07 14:49:48,1,8.823211955501735
6,FMPC0115902272,28.695053,77.320451,Sink,28.714921,77.315002,,,0.53,2016-05-07 15:36:36,,
