Van No,Start Node,Start Latitude,Start Longitude,End Node,End Latitude,End Longitude,Slot Start Time,Slot End Time,Time to Travel,Hitting Time,Slot Adherence,Load
1,Hub,19.110976,72.893396,FMPP0056027514,19.113977,72.891964,2016-07-20 10:00:00,2016-07-20 14:00:00,0.09,2016-07-20 10:15:00,1,2.9971738587973316
1,FMPP0056027514,19.113977,72.891964,FMPP0056031883,19.119653,72.899433,2016-07-20 10:00:00,2016-07-20 14:00:00,0.09,2016-07-20 10:35:24,1,2.7231892845520482
1,FMPP0056031883,19.119653,72.899433,FMPP0056028457,19.117482,72.905579,2016-07-20 10:00:00,2016-07-20 14:00:00,0.06,2016-07-20 10:54:00,1,2.9971738587973316
1,FMPP0056028457,19.117482,72.905579,FMPP0056026702,19.134349,72.867138,2016-07-20 10:00:00,2016-07-20 14:00:00,0.2,2016-07-20 11:21:00,1,12.693551940912497
1,FMPP0056026702,19.134349,72.867138,FMPC0139953073,19.132727,72.860186,2016-07-20 10:00:00,2016-07-20 14:00:00,0.17,2016-07-20 11:46:12,1,16.825771894860996
1,FMPC0139953073,19.132727,72.860186,FMPC0139974365,19.1344,72.858965,2016-07-20 10:00:00,2016-07-20 14:00:00,0.13,2016-07-20 12:09:00,1,2.0044779400604567
1,FMPC0139974365,19.1344,72.858965,FMPP0056022020,19.139909,72.843113,2016-07-20 10:00:00,2016-07-20 14:00:00,0.22,2016-07-20 12:37:12,1,12.459077443403073
1,FMPP0056022020,19.139909,72.843113,FMPP0056028296,19.115174,72.840111,2016-07-20 14:00:00,2016-07-20 18:00:00,0.11,2016-07-20 12:58:48,0,2.0044779400604567
1,FMPP0056028296,19.115174,72.840111,FMPP0056028755,19.108749,72.844648,2016-07-18 14:00:00,2016-07-20 18:00:00,0.1,2016-07-20 13:19:48,0,2.0044779400604567
1,FMPP0056028755,19.108749,72.844648,FMPC0139977299,19.104065,72.85278,2016-07-20 14:00:00,2016-07-20 18:00:00,0.09,2016-07-20 13:40:12,0,1.8949764056098428
