Van No,Start Node,Start Latitude,Start Longitude,End Node,End Latitude,End Longitude,Slot Start Time,Slot End Time,Time to Travel,Hitting Time,Slot Adherence,Load
1,Hub,19.237481,73.034974,FMPP0047345550,19.202777,72.965496,2016-05-05 10:00:00,2016-05-05 13:00:00,0.38,2016-05-05 10:15:00,1,11.496937154667224
1,FMPP0047345550,19.202777,72.965496,FMPP0047344407,19.250341,72.979582,2016-05-05 10:00:00,2016-05-05 13:00:00,0.24,2016-05-05 10:44:24,1,10.780923061059038
1,FMPP0047344407,19.250341,72.979582,FMPC0115627859,19.242019,72.983063,2016-05-05 10:00:00,2016-05-05 13:00:00,0.09,2016-05-05 11:04:48,1,2.122649461
1,FMPC0115627859,19.242019,72.983063,FMPP0047328059,19.24118,72.982023,2016-05-05 10:00:00,2016-05-05 13:00:00,0.0,2016-05-05 11:19:48,1,12.584874321203024
1,FMPP0047328059,19.24118,72.982023,FMPC0115649206,19.221553,72.982797,2016-05-05 10:00:00,2016-05-05 13:00:00,0.19,2016-05-05 11:46:12,1,10.780923061059038
1,FMPC0115649206,19.221553,72.982797,FMPC0115630805,19.221692,72.983864,2016-05-05 13:00:00,2016-05-05 16:00:00,0.06,2016-05-05 12:04:48,0,2.0568433187806425
1,FMPC0115630805,19.221692,72.983864,FMPC0115650008,19.228729,72.965687,2016-05-05 13:00:00,2016-05-05 16:00:00,0.3,2016-05-05 12:37:48,0,8.823211955501735
1,FMPC0115650008,19.228729,72.965687,FMPP0047349250,19.274231,72.960965,2016-05-05 13:00:00,2016-05-05 16:00:00,0.25,2016-05-05 13:07:48,1,10.780923061059038
1,FMPP0047349250,19.274231,72.960965,FMPP0047314386,19.297812,72.828303,2016-05-05 13:00:00,2016-05-05 16:00:00,1.14,2016-05-05 14:31:12,1,16.329728233365195
1,FMPP0047314386,19.297812,72.828303,FMPC0115238491,19.3084955,72.8572025,2016-04-05 13:00:00,2016-04-05 16:00:00,0.32,2016-05-05 15:05:24,1,3.9070416523125004
1,FMPC0115238491,19.3084955,72.8572025,FMPP0047326780,19.281511,72.861278,2016-05-05 13:00:00,2016-05-05 16:00:00,0.4,2016-05-05 15:44:24,1,12.584874321203024
1,FMPP0047326780,19.281511,72.861278,FMPP0047350996,19.279132,72.883583,2016-05-05 13:00:00,2016-05-05 16:00:00,0.21,2016-05-05 16:12:00,1,12.584874321203024
1,FMPP0047350996,19.279132,72.883583,FMPC0115654958,19.407377,72.834742,2016-05-05 13:00:00,2016-05-05 16:00:00,0.68,2016-05-05 17:07:48,0,11.826300793600284
