Van No,Start Node,Start Latitude,Start Longitude,End Node,End Latitude,End Longitude,Slot Start Time,Slot End Time,Time to Travel,Hitting Time,Slot Adherence,Load
1,Hub,19.237481,73.034974,FMPP0047448101,19.206973,73.00643,05-06-2016 10.00,05-06-2016 13.00,0.33,05-06-2016 10.15,1,17.99309724
1,FMPP0047448101,19.206973,73.00643,FMPP0047453710,19.190297,72.971127,05-06-2016 10.00,05-06-2016 13.00,0.24,05-06-2016 10.44,1,11.2971404
1,FMPP0047453710,19.190297,72.971127,FMPC0115970628,19.222996,72.965041,05-06-2016 10.00,05-06-2016 13.00,0.42,05-06-2016 11.24,1,2.084971872
1,FMPC0115970628,19.222996,72.965041,FMPP0047452947,19.2125,72.985,05-06-2016 10.00,05-06-2016 13.00,0.25,05-06-2016 11.54,1,10.78092306
1,FMPP0047452947,19.2125,72.985,FMPP0047452812,19.270529,72.868947,05-06-2016 10.00,05-06-2016 13.00,0.89,05-06-2016 13.03,1,19.56117829
1,FMPP0047452812,19.270529,72.868947,FMPP0047454175,19.281413,72.858006,05-06-2016 10.00,05-06-2016 13.00,0.19,05-06-2016 13.29,1,10.78092306
1,FMPP0047454175,19.281413,72.858006,FMPP0047454028,19.289207,72.856787,05-06-2016 10.00,05-06-2016 13.00,0.09,05-06-2016 13.49,1,10.78092306
1,FMPP0047454028,19.289207,72.856787,FMPP0047454477,19.295491,72.874347,05-06-2016 10.00,05-06-2016 13.00,0.25,05-06-2016 14.19,0,10.78092306
1,FMPP0047454477,19.295491,72.874347,FMPP0047445580,19.413385,72.813491,05-06-2016 10.00,05-06-2016 13.00,1.52,05-06-2016 16.06,0,28.00558655
1,FMPP0047445580,19.413385,72.813491,FMPP0047310049,19.459573,72.801393,05-05-2016 13.00,05-05-2016 16.00,0.94,05-06-2016 17.17,0,12.58487432
1,FMPP0047310049,19.459573,72.801393,FMPP0047453005,19.447518,72.800802,05-06-2016 16.00,05-06-2016 18.00,0.13,05-06-2016 17.40,1,11.58899859
1,FMPP0047453005,19.447518,72.800802,Sink,19.237481,73.034974,,,2.51,05-06-2016 20.25,,
2,Hub,19.237481,73.034974,FMPC0115930875,19.206006,72.979437,05-06-2016 10.00,05-06-2016 13.00,0.35,05-06-2016 10.15,1,1.18007411
2,FMPC0115930875,19.206006,72.979437,FMPP0047453100,19.234666,72.987601,05-06-2016 10.00,05-06-2016 13.00,0.15,05-06-2016 10.39,1,10.78092306
2,FMPP0047453100,19.234666,72.987601,FMPC0115930588,19.238434,72.983207,05-06-2016 10.00,05-06-2016 13.00,0.07,05-06-2016 10.58,1,1.18007411
2,FMPC0115930588,19.238434,72.983207,FMPP0047451992,19.265098,72.970388,05-06-2016 10.00,05-06-2016 13.00,0.2,05-06-2016 11.25,1,1.076565237
