Van No,Start Node,Start Latitude,Start Longitude,End Node,End Latitude,End Longitude,Slot Start Time,Slot End Time,Time to Travel,Hitting Time,Slot Adherence,Load
1,Hub,19.237481,73.034974,FMPP0047610018,19.205667,73.002505,2016-08-05 10:00:00,2016-08-05 13:00:00,0.35,2016-08-05 10:15:00,1,13.313741741588471
1,FMPP0047610018,19.205667,73.002505,FMPP0047601942,19.273855,72.968015,2016-08-05 10:00:00,2016-08-05 13:00:00,0.42,2016-08-05 10:55:12,1,11.796207435078802
1,FMPP0047601942,19.273855,72.968015,FMPP0047607186,19.434686,72.873953,2016-08-05 10:00:00,2016-08-05 13:00:00,0.6,2016-08-05 11:46:12,1,17.99309724090539
1,FMPP0047607186,19.434686,72.873953,FMPC0116484078,19.237003,72.847593,2016-08-05 10:00:00,2016-08-05 13:00:00,0.61,2016-08-05 12:37:48,1,27.622974070920627
1,FMPC0116484078,19.237003,72.847593,FMPP0047607077,19.290174999999998,72.869981,2016-08-05 10:00:00,2016-08-05 13:00:00,0.67,2016-08-05 13:33:00,1,10.780923061059038
1,FMPP0047607077,19.290174999999998,72.869981,FMPP0047608394,19.284346,72.864584,2016-08-05 10:00:00,2016-08-05 13:00:00,0.16,2016-08-05 13:57:36,1,10.780923061059038
1,FMPP0047608394,19.284346,72.864584,FMPP0047592695,19.271367,72.890787,2016-08-05 10:00:00,2016-08-05 13:00:00,0.3,2016-08-05 14:30:36,0,5.137727949022427
1,FMPP0047592695,19.271367,72.890787,FMPP0047582188,19.099413,73.007899,2016-08-05 13:00:00,2016-08-05 16:00:00,3.11,2016-08-05 17:52:12,0,2.122649461
1,FMPP0047582188,19.099413,73.007899,FMPP0047593052,19.021311,73.022245,2016-08-05 13:00:00,2016-08-05 16:00:00,0.47,2016-08-05 18:35:24,0,3.319574450347391
1,FMPP0047593052,19.021311,73.022245,FMPP0047608586,19.013029,73.016848,2016-08-05 13:00:00,2016-08-05 16:00:00,0.14,2016-08-05 18:58:48,0,14.04823948210703
1,FMPP0047608586,19.013029,73.016848,Sink,19.237481,73.034974,,,1.42,2016-08-05 20:39:00,,
2,Hub,19.237481,73.034974,FMPP0047609949,19.213267,72.960801,2016-08-05 10:00:00,2016-08-05 13:00:00,0.42,2016-08-05 10:15:00,1,10.780923061059038
2,FMPP0047609949,19.213267,72.960801,FMPP0047612847,19.213427,72.959498,2016-08-05 13:00:00,2016-08-05 16:00:00,0.05,2016-08-05 10:33:00,0,2.6583516405007432
2,FMPP0047612847,19.213427,72.959498,FMPP0047611146,19.225004,72.97942,2016-08-05 13:00:00,2016-08-05 16:00:00,0.14,2016-08-05 10:56:24,0,2.6952197160677227
2,FMPP0047611146,19.225004,72.97942,FMPC0116484388,19.233228,72.984374,2016-08-05 13:00:00,2016-08-05 16:00:00,0.21,2016-08-05 11:24:00,0,16.075377713451466
2,FMPC0116484388,19.233228,72.984374,FMPP0047614677,19.283318,72.955421,2016-08-05 13:00:00,2016-08-05 16:00:00,0.44,2016-08-05 12:05:24,0,12.32001559614
2,FMPP0047614677,19.283318,72.955421,FMPP0047611603,19.268265,72.876093,2016-08-05 13:00:00,2016-08-05 16:00:00,0.41,2016-08-05 12:45:00,0,48.047511834208336
2,FMPP0047611603,19.268265,72.876093,FMPC0115978438,19.277144,72.859051,2016-06-05 13:00:00,2016-06-05 16:00:00,0.21,2016-08-05 13:12:36,1,1.294948127694347
2,FMPC0115978438,19.277144,72.859051,FMPP0047611340,19.405934,72.867666,2016-08-05 13:00:00,2016-08-05 16:00:00,0.74,2016-08-05 14:12:00,1,23.901259101191005
2,FMPP0047611340,19.405934,72.867666,FMPP0047534336,19.391534,72.824585,2016-07-05 13:00:00,2016-07-05 16:00:00,0.3,2016-08-05 14:45:00,1,12.584874321203024
2,FMPP0047534336,19.391534,72.824585,FMPC0116517783,19.29732,73.038234,2016-08-05 13:00:00,2016-08-05 16:00:00,1.22,2016-08-05 16:13:12,1,5.380963180453056
2,FMPC0116517783,19.29732,73.038234,FMPC0115929640,19.308396,73.065497,2016-06-05 13:00:00,2016-06-05 16:00:00,0.22,2016-08-05 16:41:24,1,3.7067156683593745
2,FMPC0115929640,19.308396,73.065497,FMPP0047619292,19.217645,72.981627,2016-08-05 16:00:00,2016-08-05 18:00:00,0.5,2016-08-05 17:26:24,1,2.0044779400604567
2,FMPP0047619292,19.217645,72.981627,FMPP0047594838,19.197627,72.976334,2016-08-05 16:00:00,2016-08-05 18:00:00,0.15,2016-08-05 17:50:24,1,3.3551009217948615
2,FMPP0047594838,19.197627,72.976334,Sink,19.237481,73.034974,,,0.4,2016-08-05 18:29:24,,
3,Hub,19.237481,73.034974,FMPP0047578913,19.189578,72.973883,2016-08-05 10:00:00,2016-08-05 13:00:00,0.65,2016-08-05 10:15:00,1,5.53091300503999
3,FMPP0047578913,19.189578,72.973883,FMPP0047607565,19.178665,72.964097,2016-08-05 10:00:00,2016-08-05 13:00:00,0.33,2016-08-05 10:49:48,1,14.04823948210703
