Van No,Start Node,Start Latitude,Start Longitude,End Node,End Latitude,End Longitude,Slot Start Time,Slot End Time,Time to Travel,Hitting Time,Slot Adherence,Load
1,Hub,22.739977,88.317647,FMPP0047513908,22.478409,88.287809,2016-05-07 08:00:00,2016-05-07 12:00:00,2.19,2016-05-07 08:15:00,1,14.133136153363717
1,FMPP0047513908,22.478409,88.287809,FMPC0116219142,22.50665,88.358499,2016-05-07 08:00:00,2016-05-07 12:00:00,1.07,2016-05-07 09:34:12,1,12.584874321203024
1,FMPC0116219142,22.50665,88.358499,FMPP0047506733,22.508223,88.360517,2016-05-07 08:00:00,2016-05-07 12:00:00,0.06,2016-05-07 09:52:48,1,5.380963180453056
1,FMPP0047506733,22.508223,88.360517,FMPC0116176728,22.528492,88.363905,2016-05-07 08:00:00,2016-05-07 12:00:00,0.18,2016-05-07 10:18:36,1,13.675556456867707
1,FMPC0116176728,22.528492,88.363905,FMPP0047524963,22.523023,88.36875,2016-05-07 08:00:00,2016-05-07 12:00:00,0.09,2016-05-07 10:39:00,1,8.077338905642781
1,FMPP0047524963,22.523023,88.36875,FMPP0047509540,22.523023,88.36875,2016-05-07 12:00:00,2016-05-07 16:00:00,0.0,2016-05-07 10:54:00,0,3.448919856897873
1,FMPP0047509540,22.523023,88.36875,FMPC0116306646,22.509239,88.364956,2016-05-07 12:00:00,2016-05-07 16:00:00,0.23,2016-05-07 11:22:48,0,2.3689119288333336
1,FMPC0116306646,22.509239,88.364956,FMPP0047506478,22.501994,88.355997,2016-05-07 16:00:00,2016-05-07 20:00:00,0.24,2016-05-07 11:52:12,0,3.238775938573375
1,FMPP0047506478,22.501994,88.355997,FMPP0047521049,22.466221,88.319531,2016-05-07 16:00:00,2016-05-07 20:00:00,0.57,2016-05-07 12:41:24,0,15.18292867405781
1,FMPP0047521049,22.466221,88.319531,FMPC0116202371,22.511244,88.346952,2016-05-10 16:00:00,2016-05-10 20:00:00,0.46,2016-05-07 13:24:00,0,12.584874321203024
1,FMPC0116202371,22.511244,88.346952,FMPC0116207346,22.568728,88.356434,2016-05-07 16:00:00,2016-05-07 20:00:00,0.31,2016-05-07 13:57:36,0,14.133136153363717
1,FMPC0116207346,22.568728,88.356434,Sink,22.739977,88.317647,,,2.75,2016-05-07 16:57:36,,
2,Hub,22.739977,88.317647,FMPP0047517761,22.635301,88.439239,2016-05-07 12:00:00,2016-05-07 16:00:00,2.88,2016-05-07 12:15:00,1,12.584874321203024
2,FMPP0047517761,22.635301,88.439239,FMPP0047520634,22.524018,88.3996,2016-05-07 12:00:00,2016-05-07 16:00:00,0.47,2016-05-07 12:58:12,1,6.757445408203124
2,FMPP0047520634,22.524018,88.3996,FMPP0047517697,22.551868,88.371732,2016-05-07 12:00:00,2016-05-07 16:00:00,0.58,2016-05-07 13:48:00,1,28.575011435728335
2,FMPP0047517697,22.551868,88.371732,FMPC0116182188,22.561231,88.360107,2016-05-07 12:00:00,2016-05-07 16:00:00,0.11,2016-05-07 14:09:36,1,26.398896795104164
2,FMPC0116182188,22.561231,88.360107,FMPC0116174293,22.563398,88.351308,2016-05-07 12:00:00,2016-05-07 16:00:00,0.04,2016-05-07 14:27:00,1,3.238775938573375
2,FMPC0116174293,22.563398,88.351308,FMPP0047109322,22.566044,88.353615,2016-05-07 16:00:00,2016-05-07 20:00:00,0.02,2016-05-07 14:43:12,0,16.075377713451466
2,FMPP0047109322,22.566044,88.353615,FMPC0116309573,22.60455,88.374045,2016-05-07 16:00:00,2016-05-07 20:00:00,0.32,2016-05-07 15:17:24,0,2.3689119288333336
2,FMPC0116309573,22.60455,88.374045,FMPC0116205047,22.533836,88.353856,2016-05-07 16:00:00,2016-05-07 20:00:00,0.37,2016-05-07 15:54:36,0,8.488151671584378
2,FMPC0116205047,22.533836,88.353856,FMPP0047524364,22.88757,88.417443,2016-05-07 16:00:00,2016-05-07 20:00:00,1.7,2016-05-07 17:51:36,1,14.179903191829816
2,FMPP0047524364,22.88757,88.417443,Sink,22.739977,88.317647,,,3.55,2016-05-07 21:39:36,,
3,Hub,22.739977,88.317647,FMPP0047517653,22.462994,88.379936,2016-05-07 12:00:00,2016-05-07 16:00:00,3.04,2016-05-07 12:15:00,1,16.50190793244022
3,FMPP0047517653,22.462994,88.379936,FMPC0116177213,22.513611,88.3275,2016-05-07 12:00:00,2016-05-07 16:00:00,0.34,2016-05-07 12:50:24,1,2.806037148080526
3,FMPC0116177213,22.513611,88.3275,FMPC0116173150,22.513611,88.3275,2016-05-07 12:00:00,2016-05-07 16:00:00,0.0,2016-05-07 13:05:24,1,2.806037148080526
3,FMPC0116173150,22.513611,88.3275,FMPC0116174195,22.566008,88.363764,2016-05-07 12:00:00,2016-05-07 16:00:00,0.42,2016-05-07 13:45:36,1,1.814886777626593
3,FMPC0116174195,22.566008,88.363764,FMPC0116178955,22.56815,88.36147,2016-05-07 12:00:00,2016-05-07 16:00:00,0.04,2016-05-07 14:03:00,1,19.56117829177024
3,FMPC0116178955,22.56815,88.36147,FMPC0116215304,22.567948,88.359605,2016-05-07 12:00:00,2016-05-07 16:00:00,0.03,2016-05-07 14:19:48,1,16.893455575522758
3,FMPC0116215304,22.567948,88.359605,FMPP0047522945,22.606781,88.416769,2016-05-07 12:00:00,2016-05-07 16:00:00,0.59,2016-05-07 15:10:12,1,11.826300793600284
3,FMPP0047522945,22.606781,88.416769,FMPC0116154815,22.569398,88.352392,2016-05-07 12:00:00,2016-05-07 16:00:00,0.64,2016-05-07 16:03:36,1,11.894425187295747
3,FMPC0116154815,22.569398,88.352392,FMPP0047508845,22.577523,88.352587,2016-05-07 12:00:00,2016-05-07 16:00:00,0.19,2016-05-07 16:30:00,1,12.584874321203024
3,FMPP0047508845,22.577523,88.352587,FMPP0047517490,22.581725,88.350756,2016-05-07 12:00:00,2016-05-07 16:00:00,0.03,2016-05-07 16:46:48,1,28.005586553587495
3,FMPP0047517490,22.581725,88.350756,FMPP0047519532,22.63644,88.410612,2016-05-07 12:00:00,2016-05-07 16:00:00,0.84,2016-05-07 17:52:12,0,12.584874321203024
3,FMPP0047519532,22.63644,88.410612,Sink,22.739977,88.317647,,,2.94,2016-05-07 21:03:36,,
