Van No,Start Node,Start Latitude,Start Longitude,End Node,End Latitude,End Longitude,Slot Start Time,Slot End Time,Time to Travel,Hitting Time,Slot Adherence,Load
1,Hub,28.714921,77.315002,FMPP0047319332,28.712374,77.272277,2016-05-05 14:00:00,2016-05-05 20:00:00,0.76,2016-05-05 14:15:00,1,22.067629122735116
1,FMPP0047319332,28.712374,77.272277,FMPP0047343854,28.720697,77.262911,2016-05-05 14:00:00,2016-05-05 20:00:00,0.3,2016-05-05 14:48:00,1,8.823211955501735
1,FMPP0047343854,28.720697,77.262911,FMPC0115603539,28.726465,77.275713,2016-05-05 14:00:00,2016-05-05 20:00:00,0.32,2016-05-05 15:22:12,1,16.329728233365195
1,FMPC0115603539,28.726465,77.275713,FMPC0115042566,28.688464,77.290516,2016-05-03 14:00:00,2016-05-03 20:00:00,0.46,2016-05-05 16:04:48,1,11.588998586228126
1,FMPC0115042566,28.688464,77.290516,FMPP0047335247,28.687895,77.290358,2016-05-05 14:00:00,2016-05-05 20:00:00,0.02,2016-05-05 16:21:00,1,8.823211955501735
1,FMPP0047335247,28.687895,77.290358,FMPP0047341105,28.699405,77.278755,2016-05-05 14:00:00,2016-05-05 20:00:00,0.33,2016-05-05 16:55:48,1,11.496937154667224
1,FMPP0047341105,28.699405,77.278755,FMPP0047339631,28.700132,77.27966,2016-05-05 14:00:00,2016-05-05 20:00:00,0.03,2016-05-05 17:12:36,1,11.826300793600284
1,FMPP0047339631,28.700132,77.27966,FMPP0047314910,28.701694,77.221352,2016-05-05 14:00:00,2016-05-05 20:00:00,0.31,2016-05-05 17:46:12,1,2.122649461
1,FMPP0047314910,28.701694,77.221352,FMPC0115624714,28.698091,77.20766,2016-05-05 14:00:00,2016-05-05 20:00:00,0.25,2016-05-05 18:16:12,1,2.082844662427344
1,FMPC0115624714,28.698091,77.20766,FMPP0047357988,28.693985,77.176897,2016-05-05 14:00:00,2016-05-05 20:00:00,0.24,2016-05-05 18:45:36,1,11.796207435078802
1,FMPP0047357988,28.693985,77.176897,FMPP0047352662,28.694023,77.164927,2016-05-05 14:00:00,2016-05-05 20:00:00,0.3,2016-05-05 19:18:36,1,16.403956989352604
