Van No,Start Node,Start Latitude,Start Longitude,End Node,End Latitude,End Longitude,Slot Start Time,Slot End Time,Time to Travel,Hitting Time,Slot Adherence,Load
1,Hub,28.714921,77.315002,FMPP0047415156,28.603719,77.301747,06-05-2016 14.00,06-05-2016 20.00,1.08,06-05-2016 14.15,1,8.823211956
1,FMPP0047415156,28.603719,77.301747,FMPC0115868503,28.667917,77.297012,06-05-2016 8.00,06-05-2016 14.00,0.8,06-05-2016 15.18,0,14.4504502
1,FMPC0115868503,28.667917,77.297012,FMPP0047429582,28.666008,77.297881,06-05-2016 14.00,06-05-2016 20.00,0.05,06-05-2016 15.36,1,10.32426108
1,FMPP0047429582,28.666008,77.297881,FMPC0115860384,28.669347,77.294978,06-05-2016 14.00,06-05-2016 20.00,0.1,06-05-2016 15.57,1,14.13313615
1,FMPC0115860384,28.669347,77.294978,FMPC0115896401,28.662223,77.28364,06-05-2016 14.00,06-05-2016 20.00,0.16,06-05-2016 16.21,1,11.49693715
1,FMPC0115896401,28.662223,77.28364,FMPC0115895342,28.654174,77.282279,06-05-2016 14.00,06-05-2016 20.00,0.13,06-05-2016 16.44,1,1.972699853
1,FMPC0115895342,28.654174,77.282279,FMPC0115752059,28.634212,77.282294,06-05-2016 14.00,06-05-2016 20.00,0.36,06-05-2016 17.21,1,1.991963465
1,FMPC0115752059,28.634212,77.282294,FMPP0047428939,28.628397,77.300382,06-05-2016 14.00,06-05-2016 20.00,0.27,06-05-2016 17.52,1,1.534322108
1,FMPP0047428939,28.628397,77.300382,FMPC0115866368,28.631793,77.293032,06-05-2016 14.00,06-05-2016 20.00,0.14,06-05-2016 18.15,1,16.16481052
1,FMPC0115866368,28.631793,77.293032,FMPC0115887733,28.60269,77.318174,06-05-2016 14.00,06-05-2016 20.00,0.38,06-05-2016 18.53,1,11.82630079
1,FMPC0115887733,28.60269,77.318174,FMPP0047420863,28.594022,77.30742,06-05-2016 14.00,06-05-2016 20.00,0.29,06-05-2016 19.25,1,16.16481052
1,FMPP0047420863,28.594022,77.30742,FMPP0047380373,28.588889,77.301389,06-05-2016 14.00,06-05-2016 20.00,0.19,06-05-2016 19.52,1,22.06762912
1,FMPP0047380373,28.588889,77.301389,Sink,28.714921,77.315002,,,1.28,06-05-2016 21.24,,
