Van No,Start Node,Start Latitude,Start Longitude,End Node,End Latitude,End Longitude,Slot Start Time,Slot End Time,Time to Travel,Hitting Time,Slot Adherence,Load
1,Hub,28.714921,77.315002,FMPC0115619221,28.706623999999998,77.287171,2016-05-05 08:00:00,2016-05-05 14:00:00,0.48,2016-05-05 08:15:00,1,1.9726998525000001
1,FMPC0115619221,28.706623999999998,77.287171,FMPP0047472059,28.710785,77.214902,2016-05-07 08:00:00,2016-05-07 14:00:00,0.45,2016-05-05 08:57:00,1,13.488546
1,FMPP0047472059,28.710785,77.214902,FMPP0047501753,28.686871,77.280409,2016-05-07 08:00:00,2016-05-07 14:00:00,0.85,2016-05-05 10:03:00,1,0.9153549748419444
1,FMPP0047501753,28.686871,77.280409,FMPC0116024814,28.699783,77.279885,2016-05-07 08:00:00,2016-05-07 14:00:00,0.25,2016-05-05 10:33:00,1,1.6439165437500003
1,FMPC0116024814,28.699783,77.279885,FMPP0047536565,28.635857,77.240566,2016-05-07 08:00:00,2016-05-07 14:00:00,0.77,2016-05-05 11:34:12,1,14.133136153363717
1,FMPP0047536565,28.635857,77.240566,FMPP0047543065,28.638111,77.249066,2016-05-07 08:00:00,2016-05-07 14:00:00,0.06,2016-05-05 11:52:48,1,0.4855876560000001
1,FMPP0047543065,28.638111,77.249066,FMPP0047535032,28.635857,77.240566,2016-05-07 08:00:00,2016-05-07 14:00:00,0.06,2016-05-05 12:11:24,1,3.238775938573375
1,FMPP0047535032,28.635857,77.240566,FMPP0047384725,28.607104,77.291603,2016-05-06 08:00:00,2016-05-06 14:00:00,0.42,2016-05-05 12:51:36,1,19.794046460838004
1,FMPP0047384725,28.607104,77.291603,FMPP0047387223,28.614121,77.288293,2016-05-06 08:00:00,2016-05-06 14:00:00,0.16,2016-05-05 13:16:12,1,15.455276470324005
1,FMPP0047387223,28.614121,77.288293,FMPP0047509161,28.630491,77.273488,2016-05-07 08:00:00,2016-05-07 14:00:00,0.25,2016-05-05 13:46:12,1,14.692615838784297
1,FMPP0047509161,28.630491,77.273488,FMPC0116029350,28.619505,77.287517,2016-05-07 08:00:00,2016-05-07 14:00:00,0.24,2016-05-05 14:15:36,1,5.137727949022427
1,FMPC0116029350,28.619505,77.287517,FMPC0116221458,28.644194,77.204226,2016-05-07 08:00:00,2016-05-07 14:00:00,0.56,2016-05-05 15:04:12,0,27.622974070920627
1,FMPC0116221458,28.644194,77.204226,FMPP0047482240,28.684549,77.057444,2016-05-07 08:00:00,2016-05-07 14:00:00,0.62,2016-05-05 15:56:24,0,12.32001559614
1,FMPP0047482240,28.684549,77.057444,Sink,28.714921,77.315002,,,1.94,2016-05-05 18:07:48,,
2,Hub,28.714921,77.315002,FMPP0047469770,28.573737,77.217249,2016-05-07 14:00:00,2016-05-07 20:00:00,1.75,2016-05-07 14:15:00,1,7.5683388571875
2,FMPP0047469770,28.573737,77.217249,FMPP0047477137,28.69623,77.31294,2016-05-07 08:00:00,2016-05-07 14:00:00,1.62,2016-05-07 16:07:12,0,18.801161902278317
2,FMPP0047477137,28.69623,77.31294,FMPP0047542088,28.603719,77.301747,2016-05-07 14:00:00,2016-05-07 20:00:00,0.58,2016-05-07 16:57:00,1,8.823211955501735
2,FMPP0047542088,28.603719,77.301747,FMPP0047380019,28.595472,77.298404,2016-05-06 14:00:00,2016-05-06 20:00:00,0.17,2016-05-07 17:22:12,1,15.196173711496114
2,FMPP0047380019,28.595472,77.298404,FMPP0047544128,28.679028,77.088007,2016-05-07 14:00:00,2016-05-07 20:00:00,1.53,2016-05-07 19:09:00,1,1.9726998525000001
2,FMPP0047544128,28.679028,77.088007,FMPP0047535967,28.668321,77.306186,2016-05-07 14:00:00,2016-05-07 20:00:00,1.59,2016-05-07 20:59:24,1,19.323901724382107
2,FMPP0047535967,28.668321,77.306186,FMPC0115388801,28.680221,77.285956,2016-05-04 14:00:00,2016-05-04 20:00:00,0.5,2016-05-07 21:44:24,0,10.223896350937501
2,FMPC0115388801,28.680221,77.285956,FMPP0047539099,28.659432,77.279679,2016-05-07 14:00:00,2016-05-07 20:00:00,0.35,2016-05-07 22:20:24,0,10.780923061059038
2,FMPP0047539099,28.659432,77.279679,Sink,28.714921,77.315002,,,0.95,2016-05-07 23:32:24,,
3,Hub,28.714921,77.315002,FMPP0047481589,28.628826,77.296468,2016-05-07 08:00:00,2016-05-07 14:00:00,1.18,2016-05-07 08:15:00,1,16.075377713451466
3,FMPP0047481589,28.628826,77.296468,FMPP0047466310,28.629966,77.301059,2016-05-07 08:00:00,2016-05-07 14:00:00,0.13,2016-05-07 08:37:48,1,4.368725107875
3,FMPP0047466310,28.629966,77.301059,FMPP0047502503,28.636813,77.284433,2016-05-07 08:00:00,2016-05-07 14:00:00,0.31,2016-05-07 09:11:24,1,5.137727949022427
3,FMPP0047502503,28.636813,77.284433,FMPP0047479604,28.614427,77.286915,2016-05-07 08:00:00,2016-05-07 14:00:00,0.24,2016-05-07 09:40:48,1,7.47665889609375
3,FMPP0047479604,28.614427,77.286915,FMPP0047468174,28.639063999999998,77.27917149999999,2016-05-07 08:00:00,2016-05-07 14:00:00,0.38,2016-05-07 10:18:36,1,18.12547643818694
3,FMPP0047468174,28.639063999999998,77.27917149999999,FMPP0047337668,28.638033,77.272913,2016-05-05 08:00:00,2016-05-05 14:00:00,0.14,2016-05-07 10:42:00,1,12.584874321203024
3,FMPP0047337668,28.638033,77.272913,FMPC0116027617,28.561488,77.200444,2016-05-07 08:00:00,2016-05-07 14:00:00,0.71,2016-05-07 11:39:36,1,14.04823948210703
3,FMPC0116027617,28.561488,77.200444,FMPP0047510754,28.657265,77.30762,2016-05-07 08:00:00,2016-05-07 14:00:00,0.74,2016-05-07 12:39:00,1,16.523356839031184
