Van No,Start Node,Start Latitude,Start Longitude,End Node,End Latitude,End Longitude,Slot Start Time,Slot End Time,Time to Travel,Hitting Time,Slot Adherence,Load
1,Hub,19.237481,73.034974,FMPP0047493431,19.209606,73.012426,2016-07-05 13:00:00,2016-07-05 16:00:00,0.28,2016-07-05 13:15:00,1,19.56117829177024
1,FMPP0047493431,19.209606,73.012426,FMPP0047495142,19.207899,72.963994,2016-07-05 13:00:00,2016-07-05 16:00:00,0.21,2016-07-05 13:42:36,1,2.742217019977837
1,FMPP0047495142,19.207899,72.963994,FMPC0116154866,19.205808,72.974518,2016-07-05 13:00:00,2016-07-05 16:00:00,0.08,2016-07-05 14:02:24,1,1.5343221075
1,FMPC0116154866,19.205808,72.974518,FMPC0116182355,19.206,72.976212,2016-07-05 16:00:00,2016-07-05 18:00:00,0.03,2016-07-05 14:19:12,0,14.070018413686576
1,FMPC0116182355,19.206,72.976212,FMPC0116174211,19.206,72.976212,2016-07-05 16:00:00,2016-07-05 18:00:00,0.0,2016-07-05 14:34:12,0,24.302385537183188
1,FMPC0116174211,19.206,72.976212,FMPP0047510697,19.198607,72.994292,2016-07-05 16:00:00,2016-07-05 18:00:00,0.1,2016-07-05 14:55:12,0,11.826300793600284
1,FMPP0047510697,19.198607,72.994292,FMPC0116201869,19.188056,72.963056,2016-07-05 16:00:00,2016-07-05 18:00:00,0.14,2016-07-05 15:18:36,0,13.675556456867707
1,FMPC0116201869,19.188056,72.963056,FMPP0047230044,19.114928,73.004662,2016-04-05 16:00:00,2016-04-05 18:00:00,0.46,2016-07-05 16:01:12,1,22.067629122735116
1,FMPP0047230044,19.114928,73.004662,FMPC0116207904,18.984524,73.112854,2016-07-05 16:00:00,2016-07-05 18:00:00,0.84,2016-07-05 17:06:36,1,10.780923061059038
1,FMPC0116207904,18.984524,73.112854,Sink,19.237481,73.034974,,,1.38,2016-07-05 18:44:24,,
2,Hub,19.237481,73.034974,FMPC0116175342,19.065593,73.011495,2016-07-05 10:00:00,2016-07-05 13:00:00,1.45,2016-07-05 10:15:00,1,14.123541692287692
2,FMPC0116175342,19.065593,73.011495,FMPP0047516500,19.219002,72.953877,2016-07-05 10:00:00,2016-07-05 13:00:00,0.91,2016-07-05 11:24:36,1,14.04823948210703
2,FMPP0047516500,19.219002,72.953877,FMPC0115970628,19.222996,72.965041,2016-06-05 10:00:00,2016-06-05 13:00:00,0.16,2016-07-05 11:49:12,1,2.084971871714583
2,FMPC0115970628,19.222996,72.965041,FMPP0047510320,19.236645,72.965666,2016-07-05 13:00:00,2016-07-05 16:00:00,0.15,2016-07-05 12:13:12,0,11.496937154667224
2,FMPP0047510320,19.236645,72.965666,FMPP0047423791,19.247893,72.978497,2016-06-05 10:00:00,2016-06-05 14:00:00,0.15,2016-07-05 12:37:12,1,10.780923061059038
2,FMPP0047423791,19.247893,72.978497,FMPC0116122373,19.270108,72.965617,2016-07-05 10:00:00,2016-07-05 13:00:00,0.18,2016-07-05 13:03:00,1,13.7725320198375
2,FMPC0116122373,19.270108,72.965617,FMPP0047518254,19.268056,72.964722,2016-07-05 10:00:00,2016-07-05 13:00:00,0.06,2016-07-05 13:21:36,1,10.780923061059038
2,FMPP0047518254,19.268056,72.964722,FMPP0047517539,19.206248,72.98174,2016-07-05 10:00:00,2016-07-05 13:00:00,0.26,2016-07-05 13:52:12,1,11.826300793600284
2,FMPP0047517539,19.206248,72.98174,FMPC0116152959,19.195145,72.989688,2016-07-05 10:00:00,2016-07-05 13:00:00,0.23,2016-07-05 14:21:00,0,1.9919634645923705
2,FMPC0116152959,19.195145,72.989688,FMPP0047516714,18.975421,73.028592,2016-07-05 10:00:00,2016-07-05 13:00:00,1.09,2016-07-05 15:41:24,0,13.675556456867707
2,FMPP0047516714,18.975421,73.028592,FMPP0047508242,19.034168,73.016439,2016-07-05 10:00:00,2016-07-05 13:00:00,0.43,2016-07-05 16:22:12,0,16.523356839031184
2,FMPP0047508242,19.034168,73.016439,FMPP0047505355,19.022677,73.015339,2016-07-05 10:00:00,2016-07-05 13:00:00,0.18,2016-07-05 16:48:00,0,2.365804902676444
2,FMPP0047505355,19.022677,73.015339,FMPC0115833546,19.03607,73.021611,2016-06-05 10:00:00,2016-06-05 13:00:00,0.29,2016-07-05 17:20:24,0,16.03264713340354
2,FMPC0115833546,19.03607,73.021611,FMPC0116179405,19.062154,73.002222,2016-07-05 10:00:00,2016-07-05 13:00:00,0.23,2016-07-05 17:49:12,0,8.823211955501735
2,FMPC0116179405,19.062154,73.002222,Sink,19.237481,73.034974,,,1.05,2016-07-05 19:07:12,,
3,Hub,19.237481,73.034974,FMPP0047529273,19.302783,73.053864,2016-07-05 13:00:00,2016-07-05 16:00:00,0.56,2016-07-05 13:15:00,1,14.070018413686576
3,FMPP0047529273,19.302783,73.053864,FMPC0115929640,19.308396,73.065497,2016-06-05 13:00:00,2016-06-05 16:00:00,0.09,2016-07-05 13:35:24,1,3.7067156683593745
3,FMPC0115929640,19.308396,73.065497,FMPC0115976473,19.25046,73.152961,2016-06-05 16:00:00,2016-06-05 18:00:00,0.49,2016-07-05 14:19:48,0,12.091570344498946
3,FMPC0115976473,19.25046,73.152961,FMPP0047533600,19.21039,73.132812,2016-07-05 16:00:00,2016-07-05 18:00:00,0.34,2016-07-05 14:55:12,0,17.99309724090539
3,FMPP0047533600,19.21039,73.132812,FMPP0047507750,19.228831,73.085827,2016-07-05 16:00:00,2016-07-05 18:00:00,0.71,2016-07-05 15:52:48,0,18.75978757352339
3,FMPP0047507750,19.228831,73.085827,Sink,19.237481,73.034974,,,1.55,2016-07-05 17:40:48,,
4,Hub,19.237481,73.034974,FMPP0047520906,19.20149,72.9593215,2016-07-05 10:00:00,2016-07-05 13:00:00,0.4,2016-07-05 10:15:00,1,14.04823948210703
4,FMPP0047520906,19.20149,72.9593215,FMPC0116180065,19.202581,72.965537,2016-07-05 13:00:00,2016-07-05 16:00:00,0.07,2016-07-05 10:34:12,0,18.047786217314616
4,FMPC0116180065,19.202581,72.965537,FMPC0116179109,19.197057,72.976308,2016-07-05 13:00:00,2016-07-05 16:00:00,0.15,2016-07-05 10:58:12,0,10.8806804252
4,FMPC0116179109,19.197057,72.976308,FMPP0047515149,19.222412,72.987969,2016-07-05 13:00:00,2016-07-05 16:00:00,0.25,2016-07-05 11:28:12,0,18.706504725345283
4,FMPP0047515149,19.222412,72.987969,FMPC0116148746,19.222143,72.98334,2016-07-05 13:00:00,2016-07-05 16:00:00,0.18,2016-07-05 11:54:00,0,26.348841477724793
4,FMPC0116148746,19.222143,72.98334,FMPP0047517034,19.122403,72.999737,2016-07-05 13:00:00,2016-07-05 16:00:00,0.8,2016-07-05 12:57:00,0,2.0568433187806425
4,FMPP0047517034,19.122403,72.999737,FMPP0047516134,19.02962,73.060293,2016-07-05 13:00:00,2016-07-05 16:00:00,0.56,2016-07-05 13:45:36,1,10.780923061059038
4,FMPP0047516134,19.02962,73.060293,FMPP0047502538,19.040662,73.077226,2016-07-05 13:00:00,2016-07-05 16:00:00,0.13,2016-07-05 14:08:24,1,3.319574450347391
4,FMPP0047502538,19.040662,73.077226,FMPC0115977015,19.051827,73.071988,2016-06-05 13:00:00,2016-06-05 16:00:00,0.12,2016-07-05 14:30:36,1,19.56117829177024
4,FMPC0115977015,19.051827,73.071988,FMPC0116155152,18.980311,73.125642,2016-07-05 13:00:00,2016-07-05 16:00:00,0.43,2016-07-05 15:11:24,1,2.122649461
4,FMPC0116155152,18.980311,73.125642,FMPP0047506471,18.987558,73.115478,2016-07-05 13:00:00,2016-07-05 16:00:00,0.21,2016-07-05 15:39:00,1,28.005586553587495
4,FMPP0047506471,18.987558,73.115478,FMPC0115625278,19.017294,73.033106,2016-05-05 13:00:00,2016-05-05 16:00:00,0.59,2016-07-05 16:29:24,1,8.488151671584378
4,FMPC0115625278,19.017294,73.033106,Sink,19.237481,73.034974,,,1.22,2016-07-05 17:57:36,,
5,Hub,19.237481,73.034974,FMPP0047504471,19.234998,73.126749,2016-07-05 10:00:00,2016-07-05 13:00:00,0.7,2016-07-05 10:15:00,1,5.380963180453056
5,FMPP0047504471,19.234998,73.126749,FMPP0047520858,19.222971,73.154395,2016-07-05 10:00:00,2016-07-05 13:00:00,0.35,2016-07-05 10:51:00,1,23.901259101191005
5,FMPP0047520858,19.222971,73.154395,FMPP0047520148,19.220845,73.113371,2016-07-05 10:00:00,2016-07-05 13:00:00,0.18,2016-07-05 11:16:48,1,10.780923061059038
5,FMPP0047520148,19.220845,73.113371,FMPC0116154844,19.224419,73.085893,2016-07-05 13:00:00,2016-07-05 16:00:00,0.44,2016-07-05 11:58:12,0,5.137727949022427
5,FMPC0116154844,19.224419,73.085893,FMPC0116154890,18.473465,73.86162,2016-07-05 13:00:00,2016-07-05 16:00:00,2.16,2016-07-05 14:22:48,1,2.2272999962331803
5,FMPC0116154890,18.473465,73.86162,FMPC0116179064,19.209068,72.873479,2016-07-05 13:00:00,2016-07-05 16:00:00,2.16,2016-07-05 16:47:24,1,12.020960263962095
5,FMPC0116179064,19.209068,72.873479,FMPP0047520848,19.277817,72.872763,2016-07-05 13:00:00,2016-07-05 16:00:00,0.43,2016-07-05 17:28:12,0,12.040143841507291
5,FMPP0047520848,19.277817,72.872763,FMPP0047501806,19.277817,72.872763,2016-07-05 13:00:00,2016-07-05 16:00:00,0.0,2016-07-05 17:43:12,0,1.9919634645923705
5,FMPP0047501806,19.277817,72.872763,FMPP0047515572,19.277817,72.872763,2016-07-05 13:00:00,2016-07-05 16:00:00,0.0,2016-07-05 17:58:12,0,17.01693835493272
5,FMPP0047515572,19.277817,72.872763,FMPP0047503243,19.295491,72.874347,2016-07-05 13:00:00,2016-07-05 16:00:00,0.31,2016-07-05 18:31:48,0,2.0044779400604567
5,FMPP0047503243,19.295491,72.874347,Sink,19.237481,73.034974,,,1.92,2016-07-05 20:42:00,,
6,Hub,19.237481,73.034974,FMPC0116201110,19.194373,72.968021,2016-07-05 10:00:00,2016-07-05 13:00:00,0.45,2016-07-05 10:15:00,1,17.99309724090539
6,FMPC0116201110,19.194373,72.968021,FMPP0047507794,19.279992,72.868932,2016-07-05 10:00:00,2016-07-05 13:00:00,0.63,2016-07-05 11:07:48,1,11.2521057316075
