Van No,Start Node,Start Latitude,Start Longitude,End Node,End Latitude,End Longitude,Slot Start Time,Slot End Time,Time to Travel,Hitting Time,Slot Adherence,Load
1,Hub,19.237481,73.034974,FMPC0116586892,19.209267,72.980706,2016-09-05 10:00:00,2016-09-05 13:00:00,0.34,2016-09-05 10:15:00,1,5.137727949022427
1,FMPC0116586892,19.209267,72.980706,FMPC0116604679,19.252406,72.971635,2016-09-05 10:00:00,2016-09-05 13:00:00,0.17,2016-09-05 10:40:12,1,14.192167359349378
1,FMPC0116604679,19.252406,72.971635,FMPP0047652177,19.250341,72.979582,2016-09-05 10:00:00,2016-09-05 13:00:00,0.11,2016-09-05 11:01:48,1,10.780923061059038
1,FMPP0047652177,19.250341,72.979582,FMPC0116633352,19.247893,72.978497,2016-09-05 13:00:00,2016-09-05 16:00:00,0.07,2016-09-05 11:21:00,0,0.4855876560000001
1,FMPC0116633352,19.247893,72.978497,FMPP0047663412,19.235203,72.966238,2016-09-05 13:00:00,2016-09-05 16:00:00,0.16,2016-09-05 11:45:36,0,2.084971871714583
1,FMPP0047663412,19.235203,72.966238,FMPP0047635986,19.229919,72.981448,2016-09-05 16:00:00,2016-09-05 18:00:00,0.2,2016-09-05 12:12:36,0,13.346480263138748
1,FMPP0047635986,19.229919,72.981448,FMPP0047637739,19.263996,72.96916,2016-09-05 16:00:00,2016-09-05 18:00:00,0.26,2016-09-05 12:43:12,0,5.203163465043334
1,FMPP0047637739,19.263996,72.96916,FMPP0047651683,19.041712,73.078189,2016-09-05 16:00:00,2016-09-05 18:00:00,1.25,2016-09-05 14:13:12,0,11.826300793600284
1,FMPP0047651683,19.041712,73.078189,Sink,19.237481,73.034974,,,1.29,2016-09-05 15:45:36,,
2,Hub,19.237481,73.034974,FMPC0116602474,19.237756,73.126434,2016-09-05 10:00:00,2016-09-05 13:00:00,0.67,2016-09-05 10:15:00,1,11.796207435078802
2,FMPC0116602474,19.237756,73.126434,FMPP0047637224,19.229023,73.130467,2016-09-05 10:00:00,2016-09-05 13:00:00,0.2,2016-09-05 10:42:00,1,2.0044779400604567
2,FMPP0047637224,19.229023,73.130467,FMPC0116634180,19.207823,73.155533,2016-09-05 13:00:00,2016-09-05 16:00:00,0.42,2016-09-05 11:22:12,0,1.5343221075
2,FMPC0116634180,19.207823,73.155533,FMPP0047658852,19.21908,73.118427,2016-09-05 13:00:00,2016-09-05 16:00:00,0.43,2016-09-05 12:03:00,0,13.563720035751471
2,FMPP0047658852,19.21908,73.118427,FMPC0116603259,19.224419,73.085893,2016-09-05 13:00:00,2016-09-05 16:00:00,0.47,2016-09-05 12:46:12,0,2.806037148080526
2,FMPC0116603259,19.224419,73.085893,FMPC0116588229,19.191085,73.092939,2016-09-05 16:00:00,2016-09-05 18:00:00,0.42,2016-09-05 13:26:24,0,5.137727949022427
2,FMPC0116588229,19.191085,73.092939,Sink,19.237481,73.034974,,,1.15,2016-09-05 14:50:24,,
3,Hub,19.237481,73.034974,FMPC0116608683,19.206668,72.961262,2016-09-05 13:00:00,2016-09-05 16:00:00,0.43,2016-09-05 13:15:00,1,2.3689119288333336
3,FMPC0116608683,19.206668,72.961262,FMPP0047663984,19.258769,72.956206,2016-09-05 13:00:00,2016-09-05 16:00:00,0.94,2016-09-05 14:26:24,1,11.297140396207293
3,FMPP0047663984,19.258769,72.956206,FMPP0047611603,19.268265,72.876093,2016-08-05 13:00:00,2016-08-05 16:00:00,0.61,2016-09-05 15:18:00,1,48.047511834208336
3,FMPP0047611603,19.268265,72.876093,FMPC0116598264,19.272472,72.862602,2016-09-05 13:00:00,2016-09-05 16:00:00,0.19,2016-09-05 15:44:24,1,7.551484691845392
3,FMPC0116598264,19.272472,72.862602,FMPC0116636196,19.28428,72.863008,2016-09-05 13:00:00,2016-09-05 16:00:00,0.18,2016-09-05 16:10:12,1,2.122649461
3,FMPC0116636196,19.28428,72.863008,FMPP0047635382,19.2834615,72.8636985,2016-11-05 13:00:00,2016-11-05 16:00:00,0.03,2016-09-05 16:27:00,1,2.082844662427344
3,FMPP0047635382,19.2834615,72.8636985,FMPP0047650533,19.29866,72.861101,2016-09-05 13:00:00,2016-09-05 16:00:00,0.29,2016-09-05 16:59:24,1,10.780923061059038
3,FMPP0047650533,19.29866,72.861101,FMPC0116596951,19.29866,72.861101,2016-09-05 13:00:00,2016-09-05 16:00:00,0.0,2016-09-05 17:14:24,0,11.283770739867016
3,FMPC0116596951,19.29866,72.861101,FMPC0115238491,19.3084955,72.8572025,2016-04-05 13:00:00,2016-04-05 16:00:00,0.23,2016-09-05 17:43:12,0,3.9070416523125004
3,FMPC0115238491,19.3084955,72.8572025,FMPP0047643720,18.928051,72.820864,2016-09-05 13:00:00,2016-09-05 16:00:00,2,2016-09-05 19:58:12,0,16.328272425047913
3,FMPP0047643720,18.928051,72.820864,FMPP0047645388,18.928051,72.820864,2016-09-05 13:00:00,2016-09-05 16:00:00,0.0,2016-09-05 20:13:12,0,12.547125589286978
3,FMPP0047645388,18.928051,72.820864,FMPC0116585791,19.005974,73.018352,2016-09-05 13:00:00,2016-09-05 16:00:00,0.68,2016-09-05 21:09:00,0,2.3689119288333336
3,FMPC0116585791,19.005974,73.018352,FMPP0047669947,19.034168,73.016439,2016-09-05 13:00:00,2016-09-05 16:00:00,0.21,2016-09-05 21:36:36,0,19.944096407533593
3,FMPP0047669947,19.034168,73.016439,Sink,19.237481,73.034974,,,1.19,2016-09-05 23:03:00,,
4,Hub,19.237481,73.034974,FMPC0116601121,19.21438,72.964692,2016-09-05 10:00:00,2016-09-05 13:00:00,0.58,2016-09-05 10:15:00,1,10.780923061059038
4,FMPC0116601121,19.21438,72.964692,FMPC0116587251,19.109924,73.007888,2016-09-05 10:00:00,2016-09-05 13:00:00,0.59,2016-09-05 11:05:24,1,1.5343221075
4,FMPC0116587251,19.109924,73.007888,FMPP0047650004,19.109924,73.007888,2016-09-05 10:00:00,2016-09-05 13:00:00,0.0,2016-09-05 11:20:24,1,3.877751958667242
4,FMPP0047650004,19.109924,73.007888,FMPC0116590661,19.102159,73.007418,2016-09-05 10:00:00,2016-09-05 13:00:00,0.11,2016-09-05 11:42:00,1,1.423616853281432
4,FMPC0116590661,19.102159,73.007418,FMPC0116603795,19.031185,73.026915,2016-09-05 10:00:00,2016-09-05 13:00:00,0.44,2016-09-05 12:23:24,1,12.186058276875
4,FMPC0116603795,19.031185,73.026915,FMPC0116597913,19.034194,73.01941,2016-09-05 10:00:00,2016-09-05 13:00:00,0.17,2016-09-05 12:48:36,1,11.2521057316075
4,FMPC0116597913,19.034194,73.01941,FMPC0116586648,19.013184,73.0135,2016-09-05 10:00:00,2016-09-05 13:00:00,0.1,2016-09-05 13:09:36,1,2.122649461
4,FMPC0116586648,19.013184,73.0135,FMPP0047636860,19.011087,72.846234,2016-09-05 10:00:00,2016-09-05 13:00:00,0.57,2016-09-05 13:58:48,1,17.371867297748057
4,FMPP0047636860,19.011087,72.846234,FMPP0047647625,18.950792,72.84075,2016-09-05 10:00:00,2016-09-05 13:00:00,0.39,2016-09-05 14:37:12,0,19.56117829177024
4,FMPP0047647625,18.950792,72.84075,FMPC0116588635,19.022169,73.086816,2016-09-05 10:00:00,2016-09-05 13:00:00,0.81,2016-09-05 15:40:48,0,2.122649461
4,FMPC0116588635,19.022169,73.086816,FMPC0116605111,19.002988,73.118829,2016-09-05 10:00:00,2016-09-05 13:00:00,0.73,2016-09-05 16:39:36,0,8.488151671584378
4,FMPC0116605111,19.002988,73.118829,FMPP0047645137,18.996738,73.119499,2016-09-05 13:00:00,2016-09-05 16:00:00,0.06,2016-09-05 16:58:12,1,12.020960263962095
4,FMPP0047645137,18.996738,73.119499,FMPC0115928142,19.014996,73.090861,2016-06-05 13:00:00,2016-06-05 16:00:00,0.42,2016-09-05 17:38:24,0,2.3813571602584793
4,FMPC0115928142,19.014996,73.090861,FMPP0047646275,19.074148,73.01541,2016-09-05 13:00:00,2016-09-05 16:00:00,0.44,2016-09-05 18:19:48,0,8.823211955501735
4,FMPP0047646275,19.074148,73.01541,FMPC0116569035,19.070675,73.016731,2016-09-05 13:00:00,2016-09-05 16:00:00,0.09,2016-09-05 18:40:12,0,12.584874321203024
4,FMPC0116569035,19.070675,73.016731,Sink,19.237481,73.034974,,,1.51,2016-09-05 20:25:48,,
5,Hub,19.237481,73.034974,FMPP0047638771,19.249278,73.142823,2016-09-05 10:00:00,2016-09-05 13:00:00,0.59,2016-09-05 10:15:00,1,3.319574450347391
5,FMPP0047638771,19.249278,73.142823,FMPP0047645204,19.282477,72.8608745,2016-09-05 10:00:00,2016-09-05 13:00:00,2,2016-09-05 12:30:00,1,2.3598806148750002
5,FMPP0047645204,19.282477,72.8608745,FMPP0047648179,19.231249,72.870551,2016-09-05 10:00:00,2016-09-05 13:00:00,0.74,2016-09-05 13:29:24,1,19.56117829177024
5,FMPP0047648179,19.231249,72.870551,FMPP0047637170,19.41419,72.827679,2016-09-05 10:00:00,2016-09-05 13:00:00,1.14,2016-09-05 14:52:48,0,15.567906297549145
5,FMPP0047637170,19.41419,72.827679,FMPP0047635498,19.427754,72.784428,2016-09-05 10:00:00,2016-09-05 13:00:00,0.36,2016-09-05 15:29:24,0,12.584874321203024
5,FMPP0047635498,19.427754,72.784428,FMPP0047644764,19.458091,72.808047,2016-09-05 10:00:00,2016-09-05 13:00:00,0.58,2016-09-05 16:19:12,0,15.236155741125001
5,FMPP0047644764,19.458091,72.808047,FMPP0047347215,19.429383,72.817998,2016-05-05 13:00:00,2016-05-05 16:00:00,0.24,2016-09-05 16:48:36,1,17.550147158608997
