Van No,Start Node,Start Latitude,Start Longitude,End Node,End Latitude,End Longitude,Slot Start Time,Slot End Time,Time to Travel,Hitting Time,Slot Adherence,Load
1,Hub,22.739977,88.317647,FMPP0047224485,22.601906,88.405258,2016-05-04 16:00:00,2016-05-04 20:00:00,1.7,2016-05-04 16:15:00,1,11.826300793600284
1,FMPP0047224485,22.601906,88.405258,FMPP0047247098,22.524943,88.400092,2016-05-04 12:00:00,2016-05-04 16:00:00,0.53,2016-05-04 17:01:48,0,1.993888010774444
1,FMPP0047247098,22.524943,88.400092,FMPC0115284952,22.524018,88.3996,2016-05-04 12:00:00,2016-05-04 16:00:00,0.03,2016-05-04 17:18:36,0,14.320339670000001
1,FMPC0115284952,22.524018,88.3996,FMPP0047233882,22.524775,88.397215,2016-05-04 16:00:00,2016-05-04 20:00:00,0.07,2016-05-04 17:37:48,1,14.450450201236329
1,FMPP0047233882,22.524775,88.397215,FMPP0047233561,22.515537,88.402318,2016-05-04 16:00:00,2016-05-04 20:00:00,0.22,2016-05-04 18:06:00,1,19.56117829177024
1,FMPP0047233561,22.515537,88.402318,FMPP0047228034,22.515537,88.402318,2016-05-04 16:00:00,2016-05-04 20:00:00,0.0,2016-05-04 18:21:00,1,19.56117829177024
1,FMPP0047228034,22.515537,88.402318,FMPP0047244909,22.529376,88.342051,2016-05-04 16:00:00,2016-05-04 20:00:00,0.6,2016-05-04 19:12:00,1,14.133136153363717
1,FMPP0047244909,22.529376,88.342051,FMPP0047229132,22.569394,88.360269,2016-05-04 16:00:00,2016-05-04 20:00:00,0.27,2016-05-04 19:43:12,1,26.398896795104164
1,FMPP0047229132,22.569394,88.360269,FMPC0114195718,22.579921,88.354049,2016-05-02 16:00:00,2016-05-02 20:00:00,0.18,2016-05-04 20:09:00,1,14.133136153363717
1,FMPC0114195718,22.579921,88.354049,FMPP0047244846,22.595383,88.361753,2016-05-04 16:00:00,2016-05-04 20:00:00,0.19,2016-05-04 20:35:24,1,10.324261082776461
1,FMPP0047244846,22.595383,88.361753,Sink,22.739977,88.317647,,,1.7,2016-05-04 22:32:24,,
2,Hub,22.739977,88.317647,FMPP0047246547,22.567948,88.359605,2016-05-04 08:00:00,2016-05-04 12:00:00,1.7,2016-05-04 08:15:00,1,24.302385537183188
2,FMPP0047246547,22.567948,88.359605,FMPC0115284202,22.56784,88.358444,2016-05-04 12:00:00,2016-05-04 16:00:00,0.03,2016-05-04 08:31:48,0,19.323901724382107
2,FMPC0115284202,22.56784,88.358444,FMPP0047245725,22.564775,88.362598,2016-05-04 12:00:00,2016-05-04 16:00:00,0.14,2016-05-04 08:55:12,0,10.324261082776461
2,FMPP0047245725,22.564775,88.362598,FMPP0047227483,22.574063,88.371037,2016-05-04 12:00:00,2016-05-04 16:00:00,0.13,2016-05-04 09:18:00,0,11.826300793600284
2,FMPP0047227483,22.574063,88.371037,FMPP0047246576,22.557134,88.363817,2016-05-04 12:00:00,2016-05-04 16:00:00,0.1,2016-05-04 09:39:00,0,12.584874321203024
2,FMPP0047246576,22.557134,88.363817,FMPC0115317019,22.516184,88.365596,2016-05-04 12:00:00,2016-05-04 16:00:00,0.24,2016-05-04 10:08:24,0,12.584874321203024
2,FMPC0115317019,22.516184,88.365596,FMPP0047279703,22.52493,88.360429,2016-05-04 12:00:00,2016-05-04 16:00:00,0.17,2016-05-04 10:33:36,0,14.450450201236329
2,FMPP0047279703,22.52493,88.360429,FMPC0114944402,22.50172,88.355303,2016-05-03 12:00:00,2016-05-03 16:00:00,0.29,2016-05-04 11:06:00,0,5.380963180453056
2,FMPC0114944402,22.50172,88.355303,FMPP0047229082,22.50665,88.358499,2016-05-04 12:00:00,2016-05-04 16:00:00,0.12,2016-05-04 11:28:12,0,42.722889607608735
