Van No,Start Node,Start Latitude,Start Longitude,End Node,End Latitude,End Longitude,Slot Start Time,Slot End Time,Time to Travel,Hitting Time,Slot Adherence,Load
1,Hub,22.739977,88.317647,FMPP0047665461,22.496363,88.36845,2016-05-09 12:00:00,2016-05-09 16:00:00,1.68,2016-05-09 12:15:00,1,8.488151671584378
1,FMPP0047665461,22.496363,88.36845,FMPC0116601905,22.523349,88.36903,2016-05-09 12:00:00,2016-05-09 16:00:00,0.25,2016-05-09 12:45:00,1,10.8806804252
1,FMPC0116601905,22.523349,88.36903,FMPP0047662297,22.535336,88.368358,2016-05-09 12:00:00,2016-05-09 16:00:00,0.16,2016-05-09 13:09:36,1,26.398896795104164
1,FMPP0047662297,22.535336,88.368358,FMPP0047641972,22.563398,88.351308,2016-05-09 12:00:00,2016-05-09 16:00:00,0.23,2016-05-09 13:38:24,1,2.122649461
1,FMPP0047641972,22.563398,88.351308,FMPC0116652215,22.563398,88.351308,2016-05-09 12:00:00,2016-05-09 16:00:00,0.0,2016-05-09 13:53:24,1,13.993601805989556
1,FMPC0116652215,22.563398,88.351308,FMPP0047676407,22.514266,88.361513,2016-05-09 12:00:00,2016-05-09 16:00:00,0.46,2016-05-09 14:36:00,1,13.500529830192711
1,FMPP0047676407,22.514266,88.361513,FMPC0116604037,22.567064,88.364255,2016-05-09 12:00:00,2016-05-09 16:00:00,0.61,2016-05-09 15:27:36,1,12.584874321203024
1,FMPC0116604037,22.567064,88.364255,FMPC0116602857,22.567157,88.364383,2016-05-09 16:00:00,2016-05-09 20:00:00,0.01,2016-05-09 15:43:12,0,23.901259101191005
1,FMPC0116602857,22.567157,88.364383,FMPC0116649957,22.61359,88.425488,2016-05-09 16:00:00,2016-05-09 20:00:00,0.66,2016-05-09 16:37:48,1,16.998515066795314
1,FMPC0116649957,22.61359,88.425488,FMPC0116521952,22.614499,88.373448,2016-05-08 16:00:00,2016-05-08 20:00:00,0.55,2016-05-09 17:25:48,1,5.380963180453056
1,FMPC0116521952,22.614499,88.373448,FMPP0047663439,22.619445,88.391043,2016-05-09 16:00:00,2016-05-09 20:00:00,0.16,2016-05-09 17:50:24,1,19.323901724382107
