Van No,Start Node,Start Latitude,Start Longitude,End Node,End Latitude,End Longitude,Slot Start Time,Slot End Time,Time to Travel,Hitting Time,Slot Adherence,Load
1,Hub,28.714921,77.315002,FMPP0047612503,28.610628,77.288881,2016-05-08 14:00:00,2016-05-08 20:00:00,1.23,2016-05-08 14:15:00,1,7.327556133735834
1,FMPP0047612503,28.610628,77.288881,FMPC0116360532,28.722601,77.279923,2016-05-08 08:00:00,2016-05-08 14:00:00,1.57,2016-05-08 16:04:12,0,26.398896795104164
1,FMPC0116360532,28.722601,77.279923,FMPC0116522071,28.72178,77.275833,2016-05-08 14:00:00,2016-05-08 20:00:00,0.2,2016-05-08 16:31:12,1,4.774544611816874
1,FMPC0116522071,28.72178,77.275833,FMPC0116321426,28.70349,77.29998,2016-05-08 14:00:00,2016-05-08 20:00:00,0.37,2016-05-08 17:08:24,1,2.6583516405007432
1,FMPC0116321426,28.70349,77.29998,FMPP0047574998,28.705122,77.292307,2016-05-08 14:00:00,2016-05-08 20:00:00,0.2,2016-05-08 17:35:24,1,11.496937154667224
1,FMPP0047574998,28.705122,77.292307,FMPC0116520630,28.657845,77.288031,2016-05-08 14:00:00,2016-05-08 20:00:00,0.47,2016-05-08 18:18:36,1,12.584874321203024
1,FMPC0116520630,28.657845,77.288031,FMPC0116523672,28.665034,77.311421,2016-05-08 14:00:00,2016-05-08 20:00:00,0.5,2016-05-08 19:03:36,1,5.137727949022427
1,FMPC0116523672,28.665034,77.311421,FMPP0047617736,28.6063,77.3367,2016-05-08 14:00:00,2016-05-08 20:00:00,0.63,2016-05-08 19:56:24,1,32.444168300625
1,FMPP0047617736,28.6063,77.3367,FMPP0047614759,28.62628,77.277754,2016-05-08 14:00:00,2016-05-08 20:00:00,0.64,2016-05-08 20:49:48,1,18.12547643818694
1,FMPP0047614759,28.62628,77.277754,Sink,28.714921,77.315002,,,1.46,2016-05-08 22:32:24,,
2,Hub,28.714921,77.315002,FMPP0047477137,28.69623,77.31294,2016-05-07 08:00:00,2016-05-07 14:00:00,0.47,2016-05-07 08:15:00,1,18.801161902278317
2,FMPP0047477137,28.69623,77.31294,FMPC0116498781,28.657224,77.272658,2016-05-08 08:00:00,2016-05-08 14:00:00,0.64,2016-05-07 09:08:24,1,25.54472565876622
2,FMPC0116498781,28.657224,77.272658,FMPC0116324643,28.654947,77.277343,2016-05-08 08:00:00,2016-05-08 14:00:00,0.14,2016-05-07 09:31:48,1,5.380963180453056
2,FMPC0116324643,28.654947,77.277343,FMPP0047556178,28.639856,77.274782,2016-05-08 08:00:00,2016-05-08 14:00:00,0.33,2016-05-07 10:06:36,1,18.706504725345283
2,FMPP0047556178,28.639856,77.274782,FMPP0047553261,28.639591,77.27829,2016-05-08 08:00:00,2016-05-08 14:00:00,0.04,2016-05-07 10:24:00,1,2.0568433187806425
2,FMPP0047553261,28.639591,77.27829,FMPP0047602464,28.637918,77.273407,2016-05-08 08:00:00,2016-05-08 14:00:00,0.13,2016-05-07 10:46:48,1,8.823211955501735
2,FMPP0047602464,28.637918,77.273407,FMPC0116327206,28.634119,77.273571,2016-05-08 08:00:00,2016-05-08 14:00:00,0.1,2016-05-07 11:07:48,1,22.067629122735116
2,FMPC0116327206,28.634119,77.273571,FMPC0116324802,28.631831,77.271597,2016-05-08 08:00:00,2016-05-08 14:00:00,0.11,2016-05-07 11:29:24,1,14.450450201236329
2,FMPC0116324802,28.631831,77.271597,FMPP0047555386,28.632694,77.21966,2016-05-08 08:00:00,2016-05-08 14:00:00,0.25,2016-05-07 11:59:24,1,2.3138237115092597
2,FMPP0047555386,28.632694,77.21966,Sink,28.714921,77.315002,,,1.51,2016-05-07 13:45:00,,
3,Hub,28.714921,77.315002,FMPP0047613325,28.607639,77.29031,2016-05-08 08:00:00,2016-05-08 14:00:00,1.3,2016-05-08 08:15:00,1,4.867684050092014
3,FMPP0047613325,28.607639,77.29031,FMPP0047602147,28.602262,77.29356,2016-05-15 08:00:00,2016-05-15 14:00:00,0.14,2016-05-08 08:38:24,1,14.692615838784297
3,FMPP0047602147,28.602262,77.29356,FMPP0047565731,28.588889,77.301389,2016-05-08 08:00:00,2016-05-08 14:00:00,0.26,2016-05-08 09:09:00,1,16.893455575522758
3,FMPP0047565731,28.588889,77.301389,FMPP0047562234,28.59309,77.307711,2016-05-08 08:00:00,2016-05-08 14:00:00,0.2,2016-05-08 09:36:00,1,22.067629122735116
3,FMPP0047562234,28.59309,77.307711,FMPP0047604445,28.571025,77.218601,2016-05-08 08:00:00,2016-05-08 14:00:00,0.54,2016-05-08 10:23:24,1,2.6583516405007432
3,FMPP0047604445,28.571025,77.218601,FMPC0116324875,28.555222,77.201299,2016-05-08 08:00:00,2016-05-08 14:00:00,0.42,2016-05-08 11:03:36,1,8.823211955501735
3,FMPC0116324875,28.555222,77.201299,FMPP0047573494,28.538439,77.200192,2016-05-08 08:00:00,2016-05-08 14:00:00,0.14,2016-05-08 11:27:00,1,22.114826304158665
3,FMPP0047573494,28.538439,77.200192,FMPC0116486190,28.513066,77.207657,2016-05-08 08:00:00,2016-05-08 14:00:00,0.31,2016-05-08 12:00:36,1,8.823211955501735
3,FMPC0116486190,28.513066,77.207657,FMPP0047596679,28.532432,77.212771,2016-05-08 08:00:00,2016-05-08 14:00:00,0.34,2016-05-08 12:36:00,1,14.692615838784297
3,FMPP0047596679,28.532432,77.212771,FMPP0047616733,28.528997,77.2461,2016-05-08 14:00:00,2016-05-08 20:00:00,0.41,2016-05-08 13:15:36,0,14.450450201236329
3,FMPP0047616733,28.528997,77.2461,Sink,28.714921,77.315002,,,2,2016-05-08 15:30:36,,
4,Hub,28.714921,77.315002,FMPC0116323422,28.66105,77.2067,2016-05-08 08:00:00,2016-05-08 14:00:00,1.25,2016-05-08 08:15:00,1,1.3707963600684723
4,FMPC0116323422,28.66105,77.2067,FMPP0047611841,28.651225,77.153394,2016-05-08 08:00:00,2016-05-08 14:00:00,0.3,2016-05-08 08:48:00,1,1.9919634645923705
4,FMPP0047611841,28.651225,77.153394,FMPP0047482822,28.661789,77.143224,2016-05-07 08:00:00,2016-05-07 14:00:00,0.1,2016-05-08 09:09:00,1,16.017444610903436
4,FMPP0047482822,28.661789,77.143224,FMPP0047605592,28.645686,77.166808,2016-05-08 08:00:00,2016-05-08 14:00:00,0.14,2016-05-08 09:32:24,1,8.823211955501735
4,FMPP0047605592,28.645686,77.166808,FMPP0047471499,28.71179,77.150231,2016-05-08 08:00:00,2016-05-08 14:00:00,0.38,2016-05-08 10:10:12,1,2.409312598068287
4,FMPP0047471499,28.71179,77.150231,FMPC0116322771,28.736722,77.127798,2016-05-08 08:00:00,2016-05-08 14:00:00,0.47,2016-05-08 10:53:24,1,8.823211955501735
4,FMPC0116322771,28.736722,77.127798,FMPC0116519113,28.679185,77.159112,2016-05-08 08:00:00,2016-05-08 14:00:00,0.78,2016-05-08 11:55:12,1,4.368725107875
4,FMPC0116519113,28.679185,77.159112,FMPC0116322136,28.623675,77.053527,2016-05-08 08:00:00,2016-05-08 14:00:00,0.83,2016-05-08 13:00:00,1,15.18292867405781
4,FMPC0116322136,28.623675,77.053527,FMPP0047562486,28.67673,77.077371,2016-05-08 08:00:00,2016-05-08 14:00:00,0.97,2016-05-08 14:13:12,1,16.51998991822488
4,FMPP0047562486,28.67673,77.077371,FMPC0116320961,28.69721,77.054878,2016-05-08 08:00:00,2016-05-08 14:00:00,0.37,2016-05-08 14:50:24,1,8.823211955501735
4,FMPC0116320961,28.69721,77.054878,Sink,28.714921,77.315002,,,1.87,2016-05-08 16:57:36,,
5,Hub,28.714921,77.315002,FMPP0047621757,28.611581,77.336182,2016-05-08 08:00:00,2016-05-08 14:00:00,1.34,2016-05-08 08:15:00,1,1.423616853281432
5,FMPP0047621757,28.611581,77.336182,FMPP0047610857,28.610318,77.336561,2016-05-08 08:00:00,2016-05-08 14:00:00,0.02,2016-05-08 08:31:12,1,2.3992226844573263
5,FMPP0047610857,28.610318,77.336561,FMPP0047466811,28.619413,77.307381,2016-05-08 08:00:00,2016-05-08 14:00:00,0.41,2016-05-08 09:10:48,1,3.319574450347391
5,FMPP0047466811,28.619413,77.307381,FMPP0047608375,28.619288,77.306365,2016-05-08 08:00:00,2016-05-08 14:00:00,0.05,2016-05-08 09:28:48,1,10.2314836580625
5,FMPP0047608375,28.619288,77.306365,FMPP0047563222,28.615705,77.284211,2016-05-14 08:00:00,2016-05-14 14:00:00,0.14,2016-05-08 09:52:12,1,13.7725320198375
5,FMPP0047563222,28.615705,77.284211,FMPP0047553063,28.624547,77.297309,2016-05-08 08:00:00,2016-05-08 14:00:00,0.14,2016-05-08 10:15:36,1,2.0044779400604567
5,FMPP0047553063,28.624547,77.297309,FMPP0047589665,28.624887,77.297389,2016-05-08 08:00:00,2016-05-08 14:00:00,0.02,2016-05-08 10:31:48,1,4.867684050092014
5,FMPP0047589665,28.624887,77.297389,FMPP0047551837,28.628294,77.2968,2016-05-08 08:00:00,2016-05-08 14:00:00,0.11,2016-05-08 10:53:24,1,14.04823948210703
5,FMPP0047551837,28.628294,77.2968,FMPC0116479340,28.629131,77.303008,2016-05-08 08:00:00,2016-05-08 14:00:00,0.11,2016-05-08 11:15:00,1,4.740782575748563
5,FMPC0116479340,28.629131,77.303008,FMPC0116322833,28.657876,77.290256,2016-05-08 08:00:00,2016-05-08 14:00:00,0.24,2016-05-08 11:44:24,1,14.450450201236329
